  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 11
  260.0    99.5   354.3   111.8 Arial-BoldMT   11.04 2.4 МАТЕРИАЛЫ
   99.4   124.1   126.9   136.4 Arial-BoldMT   11.04 2.4.1
  148.9   124.1   198.9   136.4 ArialMT        11.04 Качество
  209.2   124.1   218.2   136.4 ArialMT        11.04 и
  228.5   124.1   281.2   136.4 ArialMT        11.04 основные
  291.5   124.1   374.2   136.4 ArialMT        11.04 характеристики
  384.4   124.1   452.2   136.4 ArialMT        11.04 материалов,
  462.4   124.1   536.3   136.4 ArialMT        11.04 применяемых
   78.0   136.7   536.0   149.0 ArialMT        11.04 для изготовления деталей, узлов и крепежа холодильного оборудования, работающих
   78.0   149.4   536.1   161.7 ArialMT        11.04 в условиях динамических нагрузок, избыточного давления, переменных и низких
   78.0   162.0   435.3   174.3 ArialMT        11.04 температур, должны отвечать требованиям части XIII «Материалы».
   99.4   174.6   536.3   186.9 ArialMT        11.04 Выбор материала должен производиться в зависимости от рабочей температуры
   78.0   187.3   344.2   199.6 ArialMT        11.04 и физико-химических свойств холодильного агента:
   99.4   199.9   111.6   212.2 Arial-BoldMT   11.04 .1
  127.7   199.9   536.2   212.2 ArialMT        11.04 материалы частей оборудования, работающих с холодильными агентами,
   78.0   212.6   536.3   224.9 ArialMT        11.04 смазочными маслами и их сочетаниями, а также охлаждающими и охлаждаемыми
   78.0   225.2   420.0   237.5 ArialMT        11.04 средами, должны быть инертны и устойчивы по отношению к ним;
   99.4   237.8   111.6   250.1 Arial-BoldMT   11.04 .2
  127.7   237.8   536.2   250.1 ArialMT        11.04 материалы частей оборудования, работающих в условиях низких температур,
   78.0   250.5   536.1   262.9 ArialMT        11.04 не должны иметь структурных необратимых изменений и должны сохранять
   78.0   263.1   379.8   275.5 ArialMT        11.04 достаточную прочность при низких рабочих температурах;
   99.4   275.9   111.6   288.2 Arial-BoldMT   11.04 .3
  127.7   275.9   536.1   288.2 ArialMT        11.04 материалы для деталей и узлов холодильного оборудования, работающих при
   78.0   288.5   536.2   300.8 ArialMT        11.04 низких температурах, должны выбираться с учетом 1.2 части II «Корпус» и 3.5 части XIII
   78.0   301.2   155.5   313.5 ArialMT        11.04 «Материалы».
   99.4   313.8   126.9   326.1 Arial-BoldMT   11.04 2.4.2
  148.9   313.8   536.3   326.1 ArialMT        11.04 Детали механизмов и аппаратов, которые соприкасаются со средами,
   78.0   326.4   536.1   338.7 ArialMT        11.04 способствующими возникновению коррозии, должны быть изготовлены из материалов
   78.0   339.1   536.2   351.4 ArialMT        11.04 с достаточной коррозионной стойкостью по отношению к этим средам или должны иметь
   78.0   351.7   231.4   364.0 ArialMT        11.04 антикоррозионные покрытия.
   99.4   364.5   536.3   376.8 ArialMT        11.04 Узлы и конструкции механизмов и аппаратов, которые изготовлены из материалов
   78.0   377.1   536.3   389.4 ArialMT        11.04 с различным электролитическим потенциалом и могут соприкасаться с морской водой,
   78.0   389.7   334.5   402.0 ArialMT        11.04 должны быть защищены от контактной коррозии.
   99.4   402.4   126.9   414.7 Arial-BoldMT   11.04 2.4.3
  148.9   402.4   203.3   414.7 ArialMT        11.04 Стальные
  212.6   402.4   289.2   414.7 ArialMT        11.04 трубопроводы
  298.5   402.4   372.6   414.7 ArialMT        11.04 холодильного
  381.9   402.4   421.4   414.7 ArialMT        11.04 агента,
  430.7   402.4   517.7   414.7 ArialMT        11.04 холодоносителя
  527.0   402.4   536.1   414.7 ArialMT        11.04 и
   78.0   415.0   536.2   427.3 ArialMT        11.04 соединительные части этих трубопроводов, изготовленные не из нержавеющей стали,
   78.0   427.7   536.0   440.0 ArialMT        11.04 должны быть оцинкованы снаружи или должны иметь равноценную антикоррозионную
   78.0   440.3   536.2   452.6 ArialMT        11.04 защиту. Поверхности, соприкасающиеся с холодильным агентом или холодоносителем,
   78.0   452.9   252.1   465.2 ArialMT        11.04 не должны быть оцинкованными.
   99.4   465.6   449.4   477.9 ArialMT        11.04 При изготовлении трубопроводов должны быть учтены требования
  449.5   465.6   473.8   477.9 ArialMT        11.04 2.4.1
  473.9   465.6   486.2   477.9 ArialMT        11.04 и
  486.2   465.6   510.6   477.9 ArialMT        11.04 2.4.2
  510.6   465.6   516.6   477.9 ArialMT        11.04 .
