  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 25
  207.1    99.4   407.6   112.8 Arial-BoldMT   12.00 6 АРМАТУРА И ТРУБОПРОВОДЫ
  265.9   131.1   348.5   143.5 Arial-BoldMT   11.04 6.1 АРМАТУРА
   99.4   155.9   124.0   168.2 Arial-BoldMT   11.04 6.1.1
  148.9   155.9   536.1   168.2 ArialMT        11.04 В системах холодильных установок должна применяться запорная,
   78.0   168.5   536.3   180.8 ArialMT        11.04 регулирующая и предохранительная арматура, рассчитанная на давление не менее 1,25
   78.0   181.2   337.0   193.5 ArialMT        11.04 расчетного давления, принятого в соответствии с
  337.0   181.2   361.5   193.5 ArialMT        11.04 2.2.1
  361.4   181.2   367.5   193.5 ArialMT        11.04 .
   99.4   193.8   536.1   206.1 ArialMT        11.04 Как правило, должна применяться стальная арматура. При рассмотрении
   78.0   206.4   536.1   218.7 ArialMT        11.04 возможности применения арматуры из других материалов необходимо учитывать
   78.0   219.1   438.4   231.4 ArialMT        11.04 химическую совместимость материала с применяемым хладагентом.
   99.4   231.7   536.1   244.0 ArialMT        11.04 Применение встроенной запорной арматуры из серого чугуна для входных и
   78.0   244.4   536.3   256.7 ArialMT        11.04 выходных полостей холодильных компрессоров, а также арматуры из чугуна
   78.0   257.0   536.1   269.3 ArialMT        11.04 с шаровидным графитом может быть допущено для холодильных агентов групп I и II при
   78.0   269.7   274.4   282.0 ArialMT        11.04 температурах среды не ниже – 40 °С.
   99.4   282.4   124.0   294.7 Arial-BoldMT   11.04 6.1.2
  148.9   282.4   536.1   294.7 ArialMT        11.04 Конструкция предохранительных клапанов должна обеспечивать их
   78.0   295.0   536.3   307.3 ArialMT        11.04 открытие при давлении, не превышающем более чем на 10 % расчетного давления,
   78.0   307.7   221.6   320.0 ArialMT        11.04 принятого в соответствии с
  221.7   307.7   246.2   320.0 ArialMT        11.04 2.2.1
  246.2   307.7   252.2   320.0 ArialMT        11.04 .
