  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 23
  120.4    99.4   494.1   112.8 Arial-BoldMT   12.00 5 ТЕПЛООБМЕННЫЕ АППАРАТЫ, СОСУДЫ ПОД ДАВЛЕНИЕМ
  204.6   113.2   409.8   126.6 Arial-BoldMT   12.00 И ОХЛАЖДАЮЩИЕ УСТРОЙСТВА
  232.2   144.9   382.1   157.3 Arial-BoldMT   11.04 5.1 АППАРАТЫ И СОСУДЫ
   99.4   169.7   124.0   182.0 Arial-BoldMT   11.04 5.1.1
  148.9   169.7   536.3   182.0 ArialMT        11.04 Арматура аппаратов и сосудов под давлением в отношении материалов,
   78.0   182.3   536.1   194.6 ArialMT        11.04 прочных размеров элементов и оборудования должна отвечать применимым
   78.0   195.0   536.0   207.3 ArialMT        11.04 требованиям разд. 6 (кроме 6.3.1, 6.3.3, 6.4.1, 6.4.2.3 и 6.4.2.4) части Х «Котлы,
   78.0   207.6   536.0   219.9 ArialMT        11.04 теплообменные аппараты и сосуды под давлением», а также требованиям настоящей
   78.0   220.2   112.6   232.5 ArialMT        11.04 части.
   99.4   232.9   124.0   245.2 Arial-BoldMT   11.04 5.1.2
  148.9   232.9   536.2   245.2 ArialMT        11.04 Кожухотрубные аппараты и сосуды с объемом полости холодильного
   78.0   245.5   155.9   257.8 ArialMT        11.04 агента 50 дм
  155.9   245.2   159.8   253.0 ArialMT         6.96 3
  159.6   245.5   536.1   257.8 ArialMT        11.04 и более должны снабжаться предохранительными устройствами
   78.0   258.2   536.2   270.5 ArialMT        11.04 с расчетной пропускной способностью, исключающей возможность возникновения
   78.0   270.9   536.3   283.2 ArialMT        11.04 давления, превышающего расчетное давление более чем на 10 % при полном открытии
   78.0   283.5   235.2   295.8 ArialMT        11.04 предохранительного клапана.
   99.4   296.2   381.8   308.5 ArialMT        11.04 Пропускная способность предохранительного клапана
  381.1   296.2   389.7   308.5 Arial-ItalicMT 11.04 G
  389.6   296.2   536.3   308.5 ArialMT        11.04 , кг/с, должна быть не менее
   78.0   308.8   221.3   321.1 ArialMT        11.04 определяемой по формуле
   99.3   333.3   146.0   344.4 CambriaMath    11.04 𝐺= 𝑞𝑆/𝑟
  146.3   331.9   152.4   344.2 ArialMT        11.04 ,
  497.0   331.9   531.9   344.2 ArialMT        11.04 (5.1.2)
   99.4   355.1   115.4   365.2 ArialMT         9.00 где
  120.6   356.3   125.5   365.3 CambriaMath     9.00 𝑞
  125.8   355.1   455.6   365.2 ArialMT         9.00 — интенсивность теплового потока из помещения во время пожара, кВт/м
  455.9   354.9   459.2   361.5 ArialMT         6.00 2
  459.2   355.1   535.7   365.2 ArialMT         9.00 (во всех случаях
  150.0   365.6   274.6   375.6 ArialMT         9.00 принимается равной 10 кВт/м
  274.7   365.3   278.1   372.0 ArialMT         6.00 2
  278.1   365.6   286.0   375.6 ArialMT         9.00 );
  120.6   387.5   125.4   396.5 CambriaMath     9.00 𝑆
  125.5   386.3   374.5   396.4 ArialMT         9.00 — площадь наружной поверхности сосуда (аппарата), м
  374.7   386.1   378.0   392.8 ArialMT         6.00 2
  378.1   386.3   383.0   396.4 ArialMT         9.00 ;
  120.6   408.4   124.9   417.4 CambriaMath     9.00 𝑟
  125.1   407.2   535.3   417.3 ArialMT         9.00 — удельная теплота парообразования холодильного агента при давлении открытия
