  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 28
   90.7    99.4   523.6   112.8 Arial-BoldMT   12.00 7 КОНТРОЛЬНО-ИЗМЕРИТЕЛЬНЫЕ ПРИБОРЫ. УПРАВЛЕНИЕ, ЗАЩИТА,
  194.0   113.2   420.6   126.6 Arial-BoldMT   12.00 РЕГУЛИРОВАНИЕ И СИГНАЛИЗАЦИЯ
  174.1   144.9   440.2   157.3 Arial-BoldMT   11.04 7.1 КОНТРОЛЬНО-ИЗМЕРИТЕЛЬНЫЕ ПРИБОРЫ
   99.4   169.7   124.0   182.0 Arial-BoldMT   11.04 7.1.1
  148.9   169.7   166.1   182.0 ArialMT        11.04 На
  176.5   169.7   251.1   182.0 ArialMT        11.04 компрессорах
  261.6   169.7   270.7   182.0 ArialMT        11.04 и
  281.1   169.7   337.1   182.0 ArialMT        11.04 аппаратах
  347.6   169.7   417.9   182.0 ArialMT        11.04 холодильной
  428.3   169.7   482.5   182.0 ArialMT        11.04 установки
  492.9   169.7   536.1   182.0 ArialMT        11.04 должны
   78.0   182.3   536.3   194.6 ArialMT        11.04 устанавливаться приборы для контроля параметров работы холодильной установки.
   78.0   195.0   536.1   207.3 ArialMT        11.04 Кроме того, должна быть предусмотрена возможность установки контрольных и
   78.0   207.6   435.6   219.9 ArialMT        11.04 измерительных приборов, необходимых для проведения испытаний.
   99.4   220.2   124.0   232.5 Arial-BoldMT   11.04 7.1.2
  148.9   220.2   220.1   232.5 ArialMT        11.04 Контрольные
  233.4   220.2   242.6   232.5 ArialMT        11.04 и
  255.8   220.2   339.4   232.5 ArialMT        11.04 измерительные
  352.5   220.2   400.2   232.5 ArialMT        11.04 приборы
  413.4   220.2   456.8   232.5 ArialMT        11.04 должны
  470.0   220.2   536.1   232.5 ArialMT        11.04 помещаться
   78.0   232.9   536.1   245.2 ArialMT        11.04 в легкодоступных и хорошо видимых местах. На приборах должны быть обозначены
   78.0   245.5   355.5   257.8 ArialMT        11.04 допускаемые значения контролируемых параметров.
   99.4   258.2   530.9   270.5 ArialMT        11.04 Измерительные приборы должны быть проверены компетентными организациями.
