  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 35
  257.5    99.4   357.0   112.8 Arial-BoldMT   12.00 11 ИСПЫТАНИЯ
  160.7   131.1   456.8   143.5 Arial-BoldMT   11.04 11.1 ИСПЫТАНИЯ МЕХАНИЗМОВ И ОБОРУДОВАНИЯ
  226.1   143.9   388.2   156.2 Arial-BoldMT   11.04 НА ЗАВОДЕ-ИЗГОТОВИТЕЛЕ
   99.4   168.5   133.0   180.8 Arial-BoldMT   11.04 11.1.1
  148.9   168.5   536.1   180.8 ArialMT        11.04 Испытания элементов судовых холодильных установок, перечисленных
   78.0   181.2   480.6   193.5 ArialMT        11.04 в настоящей главе, должны проводиться в присутствии инспектора Регистра.
   99.4   193.8   133.0   206.1 Arial-BoldMT   11.04 11.1.2
  148.9   193.8   536.3   206.1 ArialMT        11.04 Гидравлические испытания на прочность элементов, работающих под
   78.0   206.4   536.3   218.7 ArialMT        11.04 давлением холодильного агента, должны производиться водой или какой-либо другой
   78.0   219.1   536.0   231.4 ArialMT        11.04 жидкостью пробным давлением не менее 1,5 расчетного давления, принятого в
   78.0   231.7   158.1   244.0 ArialMT        11.04 соответствии с
  158.2   231.7   182.7   244.0 ArialMT        11.04 2.2.1
  182.7   231.7   188.7   244.0 ArialMT        11.04 .
   99.4   244.4   536.3   256.7 ArialMT        11.04 Система в сборе должна быть испытана на герметичность давлением не менее
   78.0   257.0   536.1   269.3 ArialMT        11.04 максимального рабочего, но не менее 0,2 МПа. В случае если система или узел системы
   78.0   269.7   536.1   282.0 ArialMT        11.04 по техническим причинам не может быть испытан гидравлически, должны быть
   78.0   282.4   536.1   294.7 ArialMT        11.04 проведены пневматические испытания с помощью воздуха или любого другого
   78.0   295.0   257.8   307.3 ArialMT        11.04 подходящего для этих целей газа.
   99.4   307.7   536.1   320.0 ArialMT        11.04 В случае если элемент системы по техническим причинам не был испытан
   78.0   320.3   536.1   332.6 ArialMT        11.04 гидравлически, должны быть проведены пневматические испытания в составе системы
   78.0   332.9   536.0   345.2 ArialMT        11.04 с помощью воздуха или любого другого подходящего для этих целей газа пробным
   78.0   345.6   374.4   357.9 ArialMT        11.04 давлением 1,5 рабочего давления, но не менее 0,4 МПа.
   99.4   358.2   536.0   370.5 ArialMT        11.04 Элементы, работающие под давлением холодоносителя или воды, должны
   78.0   370.9   536.1   383.2 ArialMT        11.04 подвергаться гидравлическим испытаниям давлением, равным 1,5 рабочего давления,
   78.0   383.5   536.3   395.8 ArialMT        11.04 но не менее 0,4 МПа, а коробчатые конструкции — давлением, равным 1,5 рабочего
   78.0   396.3   133.3   408.6 ArialMT        11.04 давления.
   99.4   408.9   133.0   421.2 Arial-BoldMT   11.04 11.1.3
  148.9   408.9   536.1   421.2 ArialMT        11.04 Пневматические испытания на плотность элементов, работающих
   78.0   421.5   536.1   433.8 ArialMT        11.04 под давлением холодильного агента, должны производиться пробным давлением
   78.0   434.2   335.1   446.5 ArialMT        11.04 не менее расчетного, принятого в соответствии с
  335.1   434.2   359.6   446.5 ArialMT        11.04 2.2.1
  359.5   434.2   365.5   446.5 ArialMT        11.04 .
   99.4   446.8   133.0   459.1 Arial-BoldMT   11.04 11.1.4
  148.9   446.8   536.1   459.1 ArialMT        11.04 Оборудование, предназначенное для работы при давлении холодильного
   78.0   459.5   536.1   471.8 ArialMT        11.04 агента ниже атмосферного, должно быть испытано на герметичность вакуумированием
   78.0   472.1   306.8   484.4 ArialMT        11.04 при остаточном давлении не более 0,8 кПа.
   99.4   484.7   133.0   497.0 Arial-BoldMT   11.04 11.1.5
  148.9   484.7   536.3   497.0 ArialMT        11.04 Арматура в сборе и приборы автоматики, имеющие запорные органы,
   78.0   497.4   536.2   509.7 ArialMT        11.04 должны быть подвергнуты пневматическим испытаниям на плотность закрытия пробным
   78.0   510.0   335.7   522.3 ArialMT        11.04 давлением, равным расчетному в соответствии с
  335.7   510.0   360.2   522.3 ArialMT        11.04 2.2.1
  360.1   510.0   366.1   522.3 ArialMT        11.04 .
   99.4   522.8   133.0   535.1 Arial-BoldMT   11.04 11.1.6
  148.9   522.8   364.5   535.1 ArialMT        11.04 Механизмы и оборудование, указанные в
  364.5   522.8   389.0   535.1 ArialMT        11.04 1.3.2
  388.9   522.8   536.2   535.1 ArialMT        11.04 , после сборки должны быть
   78.0   535.4   438.7   547.7 ArialMT        11.04 испытаны в соответствии с требованиями 1.4 части IX «Механизмы».
