  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  302.6    74.1   311.8    86.4 Arial-ItalicMT 11.04 7
  186.8    99.4   427.8   112.8 Arial-BoldMT   12.00 2 ОБЩИЕ ТЕХНИЧЕСКИЕ ТРЕБОВАНИЯ
  236.6   131.1   377.8   143.5 Arial-BoldMT   11.04 2.1 ОБЩИЕ ПОЛОЖЕНИЯ
   99.4   155.9   124.0   168.2 Arial-BoldMT   11.04 2.1.1
  148.9   155.9   536.0   168.2 ArialMT        11.04 Механизмы и другие элементы холодильной установки должны сохранять
   78.0   168.5   536.3   180.8 ArialMT        11.04 работоспособность в условиях окружающей среды, приведенных в 2.3 части VII
   78.0   181.2   224.2   193.5 ArialMT        11.04 «Механические установки».
   99.4   193.8   126.9   206.1 Arial-BoldMT   11.04 2.1.2
  148.9   193.8   536.3   206.1 ArialMT        11.04 Механизмы и оборудование, входящие в состав холодильной установки,
   78.0   206.4   536.3   218.7 ArialMT        11.04 должны устанавливаться и закрепляться на судне в соответствии с требованиями 4.4.1,
   78.0   219.1   371.9   231.4 ArialMT        11.04 4.4.4, 4.4.6 — 4.4.8 части VII «Механические установки».
