  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  302.6    74.1   311.8    86.4 Arial-ItalicMT 11.04 9
  182.7    99.5   431.5   111.8 Arial-BoldMT   11.04 2.3 МОЩНОСТЬ И СОСТАВ ОБОРУДОВАНИЯ
   99.4   124.1   126.9   136.4 Arial-BoldMT   11.04 2.3.1
  148.9   124.1   536.1   136.4 ArialMT        11.04 Холодильная установка должна обеспечивать постоянное поддержание
   78.0   136.7   536.3   149.0 ArialMT        11.04 в охлаждаемых помещениях температуры, требуемой по роду перевозимого груза и
   78.0   149.4   493.8   161.7 ArialMT        11.04 условиям района плавания, и температурных режимов холодильной обработки.
   99.4   162.0   126.9   174.3 Arial-BoldMT   11.04 2.3.2
  148.9   162.0   536.1   174.3 ArialMT        11.04 Холодильная установка должна обеспечивать поддержание требуемых
   78.0   174.6   536.1   186.9 ArialMT        11.04 температур в грузовых охлаждаемых помещениях при работе основного оборудования
   78.0   187.3   462.4   199.6 ArialMT        11.04 на все потребители холода при следующих условиях окружающей среды:
   99.4   199.9   334.8   212.2 ArialMT        11.04 температуре морской воды — не ниже 32 °С;
   99.4   212.6   360.3   224.9 ArialMT        11.04 температуре наружного воздуха — не ниже 40 °С.
   99.4   225.2   536.3   237.5 ArialMT        11.04 Для судов, предназначенных для эксплуатации в географически ограниченных
   78.0   237.8   536.2   250.1 ArialMT        11.04 районах, по согласованию с Регистром могут быть установлены другие значения
   78.0   250.5   151.8   262.9 ArialMT        11.04 температуры.
   99.3   263.1   126.8   275.5 Arial-BoldMT   11.04 2.3.3
  148.8   263.1   536.0   275.5 ArialMT        11.04 Мощность основного оборудования холодильной установки должна быть
   78.0   275.9   145.5   288.2 ArialMT        11.04 достаточной
  155.5   275.9   177.3   288.2 ArialMT        11.04 для
  187.3   275.9   259.1   288.2 ArialMT        11.04 поддержания
  269.1   275.9   370.4   288.2 ArialMT        11.04 регламентируемых
  380.4   275.9   443.2   288.2 ArialMT        11.04 температур
  453.2   275.9   536.3   288.2 ArialMT        11.04 в охлаждаемых
