  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 40
  138.5    99.4   476.0   112.8 Arial-BoldMT   12.00 13 ХОЛОДИЛЬНЫЕ УСТАНОВКИ С АБСОРБЦИОННЫМИ
  135.4   113.2   479.1   126.6 Arial-BoldMT   12.00 БРОМИСТОЛИТИЕВЫМИ ХОЛОДИЛЬНЫМИ МАШИНАМИ
  233.4   144.9   380.8   157.3 Arial-BoldMT   11.04 13.1 ОБЩИЕ ПОЛОЖЕНИЯ
   99.4   169.7   133.0   182.0 Arial-BoldMT   11.04 13.1.1
  148.9   169.7   536.1   182.0 ArialMT        11.04 Требования настоящего раздела распространяются на холодильные
   78.0   182.3   132.2   194.6 ArialMT        11.04 установки
  145.8   182.3   246.2   194.6 ArialMT        11.04 с абсорбционными
  259.6   182.3   368.9   194.6 ArialMT        11.04 бромистолитиевыми
  382.5   182.3   462.0   194.6 ArialMT        11.04 холодильными
  475.6   182.3   536.1   194.6 ArialMT        11.04 машинами,
   78.0   195.0   525.2   207.3 ArialMT        11.04 предназначенные для работы в составе судовых систем кондиционирования воздуха.
   99.4   207.6   133.0   219.9 Arial-BoldMT   11.04 13.1.2
  148.9   207.6   222.8   219.9 ArialMT        11.04 Холодильные
  239.4   207.6   293.6   219.9 ArialMT        11.04 установки
  310.2   207.6   410.5   219.9 ArialMT        11.04 с абсорбционными
  427.1   207.6   536.2   219.9 ArialMT        11.04 бромистолитиевыми
   78.0   220.2   418.9   232.5 ArialMT        11.04 холодильными машинами должны соответствовать требованиям
  419.4   220.2   452.9   232.5 ArialMT        11.04 1.3.4.2
  453.0   220.2   459.2   232.5 ArialMT        11.04 ,
  459.6   220.2   493.2   232.5 ArialMT        11.04 1.3.4.5
  493.2   220.2   499.4   232.5 ArialMT        11.04 ,
  499.8   220.2   533.4   232.5 ArialMT        11.04 1.3.4.7
   78.0   232.9   228.9   245.2 ArialMT        11.04 (только для систем защиты),
  229.0   232.9   262.6   245.2 ArialMT        11.04 1.3.4.8
  262.5   232.9   268.7   245.2 ArialMT        11.04 ,
  268.7   232.9   293.2   245.2 ArialMT        11.04 2.1.2
  293.1   232.9   299.3   245.2 ArialMT        11.04 ,
  299.3   232.9   323.7   245.2 ArialMT        11.04 3.1.1
  323.7   232.9   329.9   245.2 ArialMT        11.04 ,
  330.0   232.9   354.4   245.2 ArialMT        11.04 3.1.6
  354.3   232.9   360.5   245.2 ArialMT        11.04 ,
  360.5   232.9   385.0   245.2 ArialMT        11.04 5.1.1
  384.9   232.9   391.1   245.2 ArialMT        11.04 ,
  391.1   232.9   415.5   245.2 ArialMT        11.04 7.1.2
  415.5   232.9   421.6   245.2 ArialMT        11.04 ,
  421.6   232.9   446.0   245.2 ArialMT        11.04 7.2.2
  446.0   232.9   458.3   245.2 ArialMT        11.04 и
  458.4   232.9   489.0   245.2 ArialMT        11.04 11.2.6
  488.9   232.9   494.9   245.2 ArialMT        11.04 .
   99.4   245.5   133.0   257.8 Arial-BoldMT   11.04 13.1.3
  148.9   245.5   196.4   257.8 ArialMT        11.04 Система
  209.3   245.5   259.0   257.8 ArialMT        11.04 обогрева
  272.0   245.5   328.3   257.8 ArialMT        11.04 аппаратов
  341.2   245.5   423.6   257.8 ArialMT        11.04 абсорбционной
  436.5   245.5   536.2   257.8 ArialMT        11.04 бромистолитиевой
   78.0   258.2   536.1   270.5 ArialMT        11.04 холодильной машины (водяным паром или горячей водой) должна соответствовать
   78.0   270.9   465.4   283.2 ArialMT        11.04 применимым требованиям разд. 18 части VIII «Системы и трубопроводы».
