  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 15
  111.5    99.5   502.8   111.8 Arial-BoldMT   11.04 3.2 ПОМЕЩЕНИЯ ДЛЯ ХРАНЕНИЯ ЗАПАСОВ ХОЛОДИЛЬНОГО АГЕНТА
   99.4   124.1   126.9   136.4 Arial-BoldMT   11.04 3.2.1
  148.9   124.1   536.2   136.4 ArialMT        11.04 Помещения для хранения запасов холодильного агента должны быть
   78.0   136.7   247.7   149.0 ArialMT        11.04 отделены от других помещений.
   99.4   149.4   536.3   161.7 ArialMT        11.04 Помещения для хранения холодильного агента должны быть газонепроницаемыми.
   99.4   162.0   536.3   174.3 ArialMT        11.04 Для хранения небольших запасов холодильного агента группы I по согласованию
   78.0   174.6   454.8   186.9 ArialMT        11.04 с Регистром допускается отступление от изложенных выше требований.
   99.4   187.3   536.0   199.6 ArialMT        11.04 Баллоны запаса холодильного агента должны отвечать требованиям 6.4.4 части Х
   78.0   199.9   399.4   212.2 ArialMT        11.04 «Котлы, теплообменные аппараты и сосуды под давлением».
   99.4   212.6   126.9   224.9 Arial-BoldMT   11.04 3.2.2
  148.9   212.6   536.0   224.9 ArialMT        11.04 Баллоны холодильного агента должны быть закреплены таким образом,
   78.0   225.2   404.1   237.5 ArialMT        11.04 чтобы они не могли сдвигаться в условиях штормовой погоды.
   99.4   237.8   536.1   250.1 ArialMT        11.04 Между обшивкой помещения кладовой и баллонами, а также между отдельными
   78.0   250.5   423.6   262.9 ArialMT        11.04 баллонами должны быть проложены неметаллические прокладки.
   99.4   263.1   126.9   275.5 Arial-BoldMT   11.04 3.2.3
  148.9   263.1   536.1   275.5 ArialMT        11.04 Помещения для хранения запасов холодильного агента должны быть
   78.0   275.9   269.3   288.2 ArialMT        11.04 снабжены автономной вентиляцией.
   99.4   288.5   126.9   300.8 Arial-BoldMT   11.04 3.2.4
  148.9   288.5   536.3   300.8 ArialMT        11.04 В помещении запаса холодильного агента не допускается хранение
   78.0   301.2   536.3   313.5 ArialMT        11.04 баллонов с другими сжатыми газами. Для оборудования этого помещения не следует
   78.0   313.8   245.0   326.1 ArialMT        11.04 применять горючие материалы.
   99.4   326.4   126.9   338.7 Arial-BoldMT   11.04 3.2.5
  148.9   326.4   202.2   338.7 ArialMT        11.04 Хранение
  212.4   326.4   256.0   338.7 ArialMT        11.04 запасов
  266.3   326.4   340.5   338.7 ArialMT        11.04 холодильного
  350.7   326.4   387.1   338.7 ArialMT        11.04 агента
  397.5   326.4   482.4   338.7 ArialMT        11.04 в стационарных
  492.7   326.4   536.3   338.7 ArialMT        11.04 сосудах
   78.0   339.1   536.3   351.4 ArialMT        11.04 (ресиверах) допускается при условии, что сосуды и помещения, в которых они
   78.0   351.7   283.9   364.0 ArialMT        11.04 расположены, отвечают требованиям
  288.0   351.7   312.4   364.0 ArialMT        11.04 3.1.5
  312.4   351.7   318.5   364.0 ArialMT        11.04 ,
  322.6   351.7   347.1   364.0 ArialMT        11.04 3.1.7
  347.0   351.7   353.2   364.0 ArialMT        11.04 ,
  357.3   351.7   381.7   364.0 ArialMT        11.04 5.1.1
  381.7   351.7   387.7   364.0 ArialMT        11.04 ,
  391.9   351.7   416.3   364.0 ArialMT        11.04 5.1.2
  416.2   351.7   422.3   364.0 ArialMT        11.04 ,
  426.4   351.7   450.9   364.0 ArialMT        11.04 5.1.4
  450.9   351.7   457.0   364.0 ArialMT        11.04 ,
  461.1   351.7   485.6   364.0 ArialMT        11.04 6.2.5
  485.5   351.7   501.8   364.0 ArialMT        11.04 и
  505.9   351.7   530.4   364.0 ArialMT        11.04 6.2.6
  530.4   351.7   536.3   364.0 ArialMT        11.04 .
   78.0   364.5   536.3   376.8 ArialMT        11.04 Допускается размещение ресиверов запаса холодильного агента в отделении
   78.0   377.1   536.2   389.4 ArialMT        11.04 холодильных машин. Должна быть предусмотрена возможность удаления холодильного
   78.0   389.7   536.1   402.0 ArialMT        11.04 агента группы II из расходного трубопровода каждого сосуда после окончания
   78.0   402.4   397.9   414.7 ArialMT        11.04 заполнения системы или после периодической ее дозарядки.
   99.4   415.0   536.2   427.3 ArialMT        11.04 Расходные трубопроводы от сосудов, предназначенных для хранения запасов
   78.0   427.7   536.3   440.0 ArialMT        11.04 холодильного агента, не должны прокладываться через жилые и служебные помещения.
