  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 39
  213.3    99.5   400.9   111.8 Arial-BoldMT   11.04 12.2 НОРМЫ ЗАПАСНЫХ ЧАСТЕЙ
   99.4   124.1   133.0   136.4 Arial-BoldMT   11.04 12.2.1
  148.9   124.1   536.1   136.4 ArialMT        11.04 Компрессоры и насосы должны быть снабжены запасными частями,
   78.0   136.7   390.7   149.0 ArialMT        11.04 указанными в разд. 10 части VII «Механические установки».
   99.4   149.4   536.1   161.7 ArialMT        11.04 Электроприводы компрессоров, насосов и вентиляторов должны быть снабжены
   78.0   162.0   533.2   174.3 ArialMT        11.04 запасными частями в соответствии с разд. 22 части XI «Электрическое оборудование».
   99.4   174.6   133.0   186.9 Arial-BoldMT   11.04 12.2.2
  148.9   174.6   294.1   186.9 ArialMT        11.04 Независимо от требований
  296.3   174.6   327.0   186.9 ArialMT        11.04 12.2.1
  327.0   174.6   536.2   186.9 ArialMT        11.04 холодильные установки должны быть
   78.0   187.3   402.9   199.6 ArialMT        11.04 снабжены запасными частями в соответствии с требованиями
  402.9   187.3   463.5   199.6 ArialMT        11.04 табл. 12.2.2
  463.4   187.3   469.5   199.6 ArialMT        11.04 .
  439.5   211.9   536.3   224.2 ArialMT        11.04 Т а б л и ц а 12.2.2
   85.2   225.1    98.7   236.2 ArialMT         9.96 №
   83.8   236.5   100.1   247.6 ArialMT         9.96 п/п
  224.0   230.9   301.3   242.0 ArialMT         9.96 Запасные части
  449.4   230.9   506.1   242.0 ArialMT         9.96 Количество
   87.7   248.5    96.0   259.6 ArialMT         9.96 1
  105.4   248.5   398.5   259.6 ArialMT         9.96 Поршень компрессора с шатуном, комплектный, каждого типа
  473.6   248.5   481.9   259.6 ArialMT         9.96 1
   87.7   260.5    96.0   271.6 ArialMT         9.96 2
  105.4   260.5   144.6   271.6 ArialMT         9.96 Сальник
  144.6   260.7   148.2   267.9 ArialMT         6.48 1
  148.2   260.5   302.8   271.6 ArialMT         9.96 вала компрессора каждого типа
  473.6   260.5   481.9   271.6 ArialMT         9.96 1
   87.7   272.6    96.0   283.7 ArialMT         9.96 3
