  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 10
   78.0    99.3   536.1   111.7 ArialMT        11.04 мере один насос холодоносителя; резервным может быть общий для них насос
   78.0   112.1   286.0   124.4 ArialMT        11.04 с соответствующей подачей и напором.
   99.4   124.7   126.9   137.0 Arial-BoldMT   11.04 2.3.9
  148.9   124.7   536.2   137.0 ArialMT        11.04 Холодильная установка должна иметь не менее двух циркуляционных
   78.0   137.4   536.1   149.7 ArialMT        11.04 насосов охлаждающей воды, один из которых должен быть резервным. В качестве
   78.0   150.0   536.1   162.3 ArialMT        11.04 резервного может быть использован любой судовой насос забортной воды
   78.0   162.6   286.0   174.9 ArialMT        11.04 с соответствующей подачей и напором.
   99.4   175.3   133.0   187.6 Arial-BoldMT   11.04 2.3.10
  148.9   175.3   536.3   187.6 ArialMT        11.04 Охлаждающая вода должна подводиться не менее чем от двух кингстонов.
   78.0   187.9   536.0   200.2 ArialMT        11.04 При использовании кингстонов общесудового назначения должен быть обеспечен
   78.0   200.6   536.2   212.9 ArialMT        11.04 достаточный подвод воды от каждого кингстона при нормальных условиях эксплуатации
   78.0   213.2   113.7   225.5 ArialMT        11.04 судна.
