  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 27
   99.4    99.3   124.0   111.7 Arial-BoldMT   11.04 6.2.7
  148.9    99.3   536.1   111.7 ArialMT        11.04 Для участков трубопроводов, выводимых ниже ватерлинии судна
   78.0   112.1   127.0   124.4 ArialMT        11.04 согласно
  127.1   112.1   151.6   124.4 ArialMT        11.04 6.2.5
  151.5   112.1   166.9   124.4 ArialMT        11.04 и
  170.2   112.1   194.6   124.4 ArialMT        11.04 6.2.6
  194.6   112.1   536.1   124.4 ArialMT        11.04 , минимальная толщина стенок труб во всех случаях должна
   78.0   124.7   536.3   137.0 ArialMT        11.04 приниматься не менее указанной в графе 3 табл. 2.3.8 части VIII «Системы и
   78.0   137.4   163.8   149.7 ArialMT        11.04 трубопроводы».
   99.4   150.0   124.0   162.3 Arial-BoldMT   11.04 6.2.8
  148.9   150.0   536.3   162.3 ArialMT        11.04 Трубопроводы холодильного агента группы II не должны прокладываться
   78.0   162.6   536.0   174.9 ArialMT        11.04 через жилые и служебные помещения, а также сообщающиеся с ними коридоры.
   78.0   175.3   536.3   187.6 ArialMT        11.04 Трубопроводы холодильного агента группы I не должны прокладываться через жилые
   78.0   187.9   143.2   200.2 ArialMT        11.04 помещения.
