  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  302.6    74.1   311.8    86.4 Arial-ItalicMT 11.04 8
  152.7    99.5   461.7   111.8 Arial-BoldMT   11.04 2.2 ХОЛОДИЛЬНЫЕ АГЕНТЫ И РАСЧЕТНОЕ ДАВЛЕНИЕ
   99.4   124.1   126.9   136.4 Arial-BoldMT   11.04 2.2.1
  148.9   124.1   351.6   136.4 ArialMT        11.04 Холодильные агенты в соответствии с
  351.7   124.1   406.6   136.4 ArialMT        11.04 табл. 2.2.1
  406.6   124.1   536.3   136.4 ArialMT        11.04 подразделяются на две
   78.0   136.7   119.6   149.0 ArialMT        11.04 группы:
   99.4   149.4   443.0   161.7 ArialMT        11.04 I — невоспламеняющиеся и малотоксичные холодильные агенты;
   99.4   162.0   494.3   174.3 ArialMT        11.04 II — воспламеняющиеся, взрывоопасные и токсичные холодильные агенты.
   99.4   174.6   181.5   186.9 ArialMT        11.04 Использование
  191.7   174.6   231.3   186.9 ArialMT        11.04 других,
  241.5   174.6   313.0   186.9 ArialMT        11.04 не указанных
  323.0   174.6   331.9   186.9 ArialMT        11.04 в
  332.0   174.6   361.9   186.9 ArialMT        11.04 табл.
  372.1   174.6   396.5   186.9 ArialMT        11.04 2.2.1
  396.4   174.6   402.5   186.9 ArialMT        11.04 ,
  412.6   174.6   484.0   186.9 ArialMT        11.04 холодильных
  494.1   174.6   536.3   186.9 ArialMT        11.04 агентов
   78.0   187.3   536.2   199.6 ArialMT        11.04 допускается после представления в Регистр необходимых сведений об их коррозийной
   78.0   199.9   536.1   212.2 ArialMT        11.04 активности, токсичности, воспламеняемости и взрывоопасности, необходимых данных
   78.0   212.6   536.2   224.9 ArialMT        11.04 об их физических свойствах и химическом составе, экологических характеристик
   78.0   225.2   536.2   237.5 ArialMT        11.04 (значение потенциала истощения озонового слоя (ОDР) и потенциала глобального
   78.0   237.8   243.5   250.1 ArialMT        11.04 потепления (HGWP или GWP)).
   99.4   250.5   375.7   262.9 ArialMT        11.04 Использование хладагентов с ОDР > 0 запрещается.
  445.7   275.2   536.3   287.5 ArialMT        11.04 Т а б л и ц а 2.2.1
   85.1   288.3   177.5   298.3 ArialMT         9.00 Группа холодильного
  116.4   298.6   146.3   308.7 ArialMT         9.00 агента
  187.7   293.5   223.0   303.5 ArialMT         9.00 Символ
  255.8   293.5   298.7   303.5 ArialMT         9.00 Название
  331.6   293.5   425.2   303.5 ArialMT         9.00 Химическая формула
  432.0   288.3   521.6   298.3 ArialMT         9.00 Расчетное давление
  521.6   288.3   529.2   298.3 Arial-ItalicMT  9.00 р,
  471.1   298.6   492.6   308.7 ArialMT         9.00 МПа
  128.8   309.5   134.3   320.6 ArialMT         9.96 I
  188.8   309.5   222.2   320.6 ArialMT         9.96 R134A
  246.1   309.5   308.8   320.6 ArialMT         9.96 Хладон 134а
  356.6   309.5   369.9   320.6 ArialMT         9.96 CF
  369.9   313.1   373.5   320.4 ArialMT         6.48 3
  373.5   309.5   387.9   320.6 ArialMT         9.96 CH
  387.9   313.1   391.5   320.4 ArialMT         6.48 2
  391.5   309.5   400.5   320.6 ArialMT         9.96 F
  473.6   309.5   490.3   320.6 ArialMT         9.96 1,2
  188.8   321.5   222.2   332.6 ArialMT         9.96 R404A
  246.1   321.5   311.6   332.6 ArialMT         9.96 Хладон 404a
  232.0   333.0   322.9   344.1 ArialMT         9.96 (смесь 143а(52 %)/
  226.9   344.6   328.0   355.7 ArialMT         9.96 125(44 %)/134а(4 %))
  374.5   321.5   382.8   332.6 ArialMT         9.96 –
  473.6   321.5   490.3   332.6 ArialMT         9.96 2,3
  192.2   356.6   218.8   367.7 ArialMT         9.96 R744
  231.9   356.6   322.9   367.7 ArialMT         9.96 Двуокись углерода
  367.9   356.6   382.8   367.7 ArialMT         9.96 CO
  382.9   360.2   386.5   367.4 ArialMT         6.48 2
  460.8   356.6   500.4   367.7 ArialMT         9.96 см. 2.2.3
  127.3   368.6   135.6   379.7 ArialMT         9.96 II
  192.2   368.6   218.8   379.7 ArialMT         9.96 R717
  258.0   368.6   296.8   379.7 ArialMT         9.96 Аммиак
  368.2   368.6   382.6   379.7 ArialMT         9.96 NH
  382.6   372.2   386.2   379.4 ArialMT         6.48 3
  473.6   368.6   490.3   379.7 ArialMT         9.96 2,0
   99.4   393.3   126.9   405.6 Arial-BoldMT   11.04 2.2.2
  148.9   393.3   536.2   405.6 ArialMT        11.04 При расчетах прочности элементов, работающих под давлением
   78.0   405.9   536.3   418.2 ArialMT        11.04 холодильного агента, в качестве расчетного необходимо принимать давление не ниже
   78.0   418.5   536.3   430.8 ArialMT        11.04 избыточного давления насыщенных паров холодильного агента при температуре +50 °С
   78.0   431.2    81.7   443.5 ArialMT        11.04 (
   81.7   431.2   155.4   443.5 ArialMT        11.04 см. табл. 2.2.1
  155.4   431.2   168.2   443.5 ArialMT        11.04 .).
   99.4   443.8   126.9   456.1 Arial-BoldMT   11.04 2.2.3
  148.9   443.8   171.8   456.1 ArialMT        11.04 Для
  183.4   443.8   257.6   456.1 ArialMT        11.04 холодильного
  269.0   443.8   348.0   456.1 ArialMT        11.04 оборудования,
  359.6   443.8   431.8   456.1 ArialMT        11.04 работающего
  443.3   443.8   464.8   456.1 ArialMT        11.04 под
  476.3   443.8   536.1   456.1 ArialMT        11.04 давлением
   78.0   456.5   536.2   468.8 ArialMT        11.04 холодильных агентов с низкими (ниже +50 °С) критическими температурами, расчетное
   78.0   469.1   503.7   481.4 ArialMT        11.04 давление определяется по результатам анализа физических свойств хладагента.
   99.4   481.7   126.9   494.0 Arial-BoldMT   11.04 2.2.4
  148.9   481.7   536.1   494.0 ArialMT        11.04 Элементы холодильных установок, работающие под давлением, должны
   78.0   494.4   536.1   506.7 ArialMT        11.04 подвергаться проверочному расчету на пробное давление гидравлических испытаний
   78.0   507.0    81.7   519.3 ArialMT        11.04 (
   81.7   507.0   136.3   519.3 ArialMT        11.04 см. 11.1.2
  136.2   507.0   536.2   519.3 ArialMT        11.04 ). При этом напряжения не должны превышать 0,9 предела текучести
   78.0   519.8   139.9   532.1 ArialMT        11.04 материала.
   99.4   532.4   126.9   544.7 Arial-BoldMT   11.04 2.2.5
  148.9   532.4   536.3   544.7 ArialMT        11.04 Допускается применение углеводородов (изобутана R600а или других)
   78.0   545.0   536.2   557.3 ArialMT        11.04 в качестве холодильного агента в устанавливаемых на судах бытовых холодильниках
   78.0   557.7   168.2   570.0 ArialMT        11.04 и морозильниках
  181.9   557.7   232.3   570.0 ArialMT        11.04 в случае,
  246.0   557.7   273.2   570.0 ArialMT        11.04 если
  286.9   557.7   323.6   570.0 ArialMT        11.04 общее
  337.3   557.7   398.2   570.0 ArialMT        11.04 количество
  411.9   557.7   486.0   570.0 ArialMT        11.04 холодильного
  499.7   557.7   536.1   570.0 ArialMT        11.04 агента
   78.0   570.3   168.3   582.6 ArialMT        11.04 в установленных
  182.2   570.3   226.3   582.6 ArialMT        11.04 в одном
  240.2   570.3   302.5   582.6 ArialMT        11.04 помещении
  316.2   570.3   396.8   582.6 ArialMT        11.04 холодильниках
  410.6   570.3   441.5   582.6 ArialMT        11.04 и/или
  455.3   570.3   536.1   582.6 ArialMT        11.04 морозильниках
   78.0   583.0   186.0   595.3 ArialMT        11.04 не превышает 150 г.
