  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 20
  260.0    99.4   354.5   112.8 Arial-BoldMT   12.00 4 МЕХАНИЗМЫ
  251.7   131.1   362.7   143.5 Arial-BoldMT   11.04 4.1 КОМПРЕССОРЫ
   99.4   155.9   124.0   168.2 Arial-BoldMT   11.04 4.1.1
  148.9   155.9   536.1   168.2 ArialMT        11.04 Компрессоры должны отвечать требованиям настоящей части Правил,
   78.0   168.5   331.6   180.8 ArialMT        11.04 а также требованиям 5.1 части IX «Механизмы».
   99.4   181.2   124.0   193.5 Arial-BoldMT   11.04 4.1.2
  148.9   181.2   536.3   193.5 ArialMT        11.04 Расчет на прочность деталей компрессоров, работающих в условиях
   78.0   193.8   536.0   206.1 ArialMT        11.04 динамических нагрузок и избыточного давления, должен производиться, исходя
   78.0   206.4   293.4   218.7 ArialMT        11.04 из расчетного давления в соответствии с
  293.5   206.4   317.9   218.7 ArialMT        11.04 2.2.1
  317.8   206.4   323.9   218.7 ArialMT        11.04 .
   99.4   219.1   124.0   231.4 Arial-BoldMT   11.04 4.1.3
  148.9   219.1   536.3   231.4 ArialMT        11.04 Компрессоры на сторонах всасывания и нагнетания холодильного агента
   78.0   231.7   536.3   244.0 ArialMT        11.04 должны иметь запорные клапаны независимо от наличия клапанов, управляемых
   78.0   244.4   160.4   256.7 ArialMT        11.04 автоматически.
   99.4   257.0   124.0   269.3 Arial-BoldMT   11.04 4.1.4
  148.9   257.0   536.0   269.3 ArialMT        11.04 Полости для холодильного агента, масла и охлаждающей воды
   78.0   269.7   389.1   282.0 ArialMT        11.04 в необходимых местах должны иметь спускные устройства.
   99.4   282.4   124.0   294.7 Arial-BoldMT   11.04 4.1.5
  148.9   282.4   536.2   294.7 ArialMT        11.04 На стороне нагнетания промежуточной и конечной ступеней сжатия
   78.0   295.0   536.2   307.3 ArialMT        11.04 компрессора между полостью нагнетания и запорным клапаном должен быть установлен
   78.0   307.7   536.1   320.0 ArialMT        11.04 предохранительный клапан или другое предохранительное устройство, перепускающее
   78.0   320.3   536.3   332.6 ArialMT        11.04 холодильный агент во всасывающую сторону компрессора при чрезмерном повышении
   78.0   332.9   536.1   345.2 ArialMT        11.04 давления. Предохранительные устройства должны иметь пропускную способность
   78.0   345.6   128.4   357.9 ArialMT        11.04 не менее
  139.0   345.6   216.3   357.9 ArialMT        11.04 максимальной
  226.9   345.6   281.3   357.9 ArialMT        11.04 объемной
  291.8   345.6   351.1   357.9 ArialMT        11.04 (массовой)
  361.6   345.6   401.3   357.9 ArialMT        11.04 подачи
  411.9   345.6   482.3   357.9 ArialMT        11.04 защищаемой
  492.9   345.6   536.1   357.9 ArialMT        11.04 ступени
   78.0   358.2   150.2   370.5 ArialMT        11.04 компрессора.
   99.4   370.9   536.3   383.2 ArialMT        11.04 Давление открытия предохранительного клапана не должно превышать 10 %
   78.0   383.5   183.0   395.8 ArialMT        11.04 рабочего давления.
   99.4   396.3   454.4   408.6 ArialMT        11.04 На перепускной линии не должно быть никаких запорных устройств.
   99.4   408.9   124.0   421.2 Arial-BoldMT   11.04 4.1.6
  148.9   408.9   536.1   421.2 ArialMT        11.04 Устройства защиты компрессоров холодильного агента должны отвечать
   78.0   421.5   148.5   433.8 ArialMT        11.04 требованиям
  148.6   421.5   173.1   433.8 ArialMT        11.04 7.2.3
  172.9   421.5   179.0   433.8 ArialMT        11.04 .
