  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 13
  111.7    99.4   502.5   112.8 Arial-BoldMT   12.00 3 ПОМЕЩЕНИЯ ХОЛОДИЛЬНЫХ УСТАНОВОК И ОХЛАЖДАЕМЫЕ
  264.5   113.2   350.0   126.6 Arial-BoldMT   12.00 ПОМЕЩЕНИЯ
  192.2   144.9   422.1   157.3 Arial-BoldMT   11.04 3.1 ОТДЕЛЕНИЕ ХОЛОДИЛЬНЫХ МАШИН
   99.4   169.7   126.9   182.0 Arial-BoldMT   11.04 3.1.1
  148.9   169.7   536.2   182.0 ArialMT        11.04 Отделение холодильных машин должно отвечать требованиям 4.5.1, 4.5.3
   78.0   182.3   516.8   194.6 ArialMT        11.04 и 4.5.4 части VII «Механические установки», а также требованиям настоящей главы.
   99.4   195.0   536.0   207.3 ArialMT        11.04 Холодильные машины, работающие на холодильных агентах группы II, должны
   78.0   207.6   412.6   219.9 ArialMT        11.04 устанавливаться в отдельных газонепроницаемых помещениях.
   99.4   220.2   536.3   232.5 ArialMT        11.04 Для рыболовных судов длиной 55 м и менее или других установок с количеством
   78.0   232.9   536.2   245.2 ArialMT        11.04 холодильного агента в системе менее 25 кг, допускается размещение холодильной
   78.0   245.5   536.2   257.8 ArialMT        11.04 машины, работающей на холодильном агенте группы II в общем машинном отделении
   78.0   258.2   275.6   270.5 ArialMT        11.04 при соблюдении следующих условий:
   99.4   270.9   536.3   283.2 ArialMT        11.04 зона установки холодильных машин должна обслуживаться зонтом вытяжной
   78.0   283.5   536.3   295.8 ArialMT        11.04 вентиляции, исключающей попадание аммиака в машинное отделение в случае
   78.0   296.2   432.5   308.5 ArialMT        11.04 протечки. Кратность вентиляции должна быть не менее указанной в
  432.5   296.2   457.0   308.5 ArialMT        11.04 3.1.6
  456.9   296.2   469.2   308.5 ArialMT        11.04 и
  469.3   296.2   502.9   308.5 ArialMT        11.04 3.1.7.1
  502.9   296.2   509.0   308.5 ArialMT        11.04 ;
   99.4   308.8   358.2   321.1 ArialMT        11.04 зона должна быть оборудована водяной завесой;
   99.4   321.5   125.8   333.8 ArialMT        11.04 зона
  135.1   321.5   176.7   333.8 ArialMT        11.04 должна
  185.8   321.5   213.9   333.8 ArialMT        11.04 быть
  223.2   321.5   293.0   333.8 ArialMT        11.04 оборудована
  302.3   321.5   371.2   333.8 ArialMT        11.04 стационарно
  380.4   321.5   469.8   333.8 ArialMT        11.04 установленными
  479.0   321.5   536.1   333.8 ArialMT        11.04 датчиками
   78.0   334.1   498.5   346.4 ArialMT        11.04 обнаружения аммиака и сигнализацией внутри и снаружи машинного отделения;
   99.4   346.7   536.1   359.0 ArialMT        11.04 должно быть обеспечено наличие двух дыхательных аппаратов и комплектов
   78.0   359.4   177.3   371.7 ArialMT        11.04 защитной одежды.
   99.4   372.0   536.0   384.3 ArialMT        11.04 В других случаях размещение холодильной машины, работающей на холодильном
   78.0   384.7   536.1   397.0 ArialMT        11.04 агенте группы II, в общем машинном отделении судна допускается после проведения
   78.0   397.3   536.1   409.6 ArialMT        11.04 формализованной оценки безопасности судовых аммиачных холодильных установок
   78.0   410.1   536.3   422.4 ArialMT        11.04 по методике, приведенной в Сборнике нормативно-методических материалов Регистра,
   78.0   422.7   193.4   435.0 ArialMT        11.04 книга четырнадцатая.
   99.4   435.3   536.3   447.6 ArialMT        11.04 Осушение отделения холодильных машин с холодильным агентом группы II должно
