  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  302.6    74.1   311.8    86.4 Arial-ItalicMT 11.04 4
  235.2    99.4   379.2   112.8 Arial-BoldMT   12.00 1 ОБЩИЕ ПОЛОЖЕНИЯ
  209.6   131.1   404.8   143.5 Arial-BoldMT   11.04 1.1 ОБЛАСТЬ РАСПРОСТРАНЕНИЯ
   99.4   155.9   124.0   168.2 Arial-BoldMT   11.04 1.1.1
  148.9   155.9   536.3   168.2 ArialMT        11.04 Требования настоящей части Правил распространяются на стационарные
   78.0   168.5   536.3   180.8 ArialMT        11.04 судовые холодильные установки и их оборудование в соответствии с 4.1 части I
   78.0   181.2   177.0   193.5 ArialMT        11.04 «Классификация».
   99.4   193.8   124.0   206.1 Arial-BoldMT   11.04 1.1.2
  148.9   193.8   536.1   206.1 ArialMT        11.04 Классифицируемые холодильные установки должны отвечать всем
   78.0   206.4   284.0   218.7 ArialMT        11.04 требованиям настоящей части Правил.
   99.4   219.1   124.0   231.4 Arial-BoldMT   11.04 1.1.3
  148.9   219.1   267.5   231.4 ArialMT        11.04 Неклассифицируемые
  280.2   219.1   352.3   231.4 ArialMT        11.04 холодильные
  364.9   219.1   419.0   231.4 ArialMT        11.04 установки
  431.6   219.1   474.9   231.4 ArialMT        11.04 должны
  487.5   219.1   536.2   231.4 ArialMT        11.04 отвечать
   78.0   231.7   338.2   244.0 ArialMT        11.04 требованиям настоящей части, изложенным в
  338.2   231.7   371.9   244.0 ArialMT        11.04 1.3.2.1
  371.8   231.7   377.9   244.0 ArialMT        11.04 ,
  382.8   231.7   416.4   244.0 ArialMT        11.04 1.3.2.2
  416.4   231.7   422.5   244.0 ArialMT        11.04 ,
  427.4   231.7   461.0   244.0 ArialMT        11.04 1.3.2.5
  460.9   231.7   536.3   244.0 ArialMT        11.04 (только для
   78.0   244.4   458.3   256.7 ArialMT        11.04 аппаратов и сосудов, работающих под давлением холодильного агента),
  458.6   244.4   492.3   256.7 ArialMT        11.04 1.3.2.6
  492.2   244.4   536.3   256.7 ArialMT        11.04 (только
   78.0   257.0   258.4   269.3 ArialMT        11.04 для систем холодильного агента),
  259.2   257.0   292.8   269.3 ArialMT        11.04 1.3.2.7
  292.7   257.0   457.3   269.3 ArialMT        11.04 (только для системы защиты),
  458.1   257.0   491.7   269.3 ArialMT        11.04 1.3.4.2
  491.7   257.0   536.3   269.3 ArialMT        11.04 (только
   78.0   269.7   350.3   282.0 ArialMT        11.04 работающих под давлением холодильного агента),
  351.9   269.7   385.5   282.0 ArialMT        11.04 1.3.4.3
  385.4   269.7   391.5   282.0 ArialMT        11.04 ,
  393.0   269.7   426.6   282.0 ArialMT        11.04 1.3.4.5
  426.5   269.7   432.6   282.0 ArialMT        11.04 ,
  434.0   269.7   467.7   282.0 ArialMT        11.04 1.3.4.7
  467.6   269.7   536.3   282.0 ArialMT        11.04 (только для
   78.0   282.4   167.0   294.7 ArialMT        11.04 систем защиты),
  167.9   282.4   201.5   294.7 ArialMT        11.04 1.3.4.8
  201.5   282.4   207.7   294.7 ArialMT        11.04 ,
  208.6   282.4   233.1   294.7 ArialMT        11.04 2.1.2
  233.1   282.4   239.3   294.7 ArialMT        11.04 ,
  240.2   282.4   264.5   294.7 ArialMT        11.04 2.2.1
  264.5   282.4   270.7   294.7 ArialMT        11.04 ,
  271.6   282.4   296.1   294.7 ArialMT        11.04 2.2.2
  296.0   282.4   302.2   294.7 ArialMT        11.04 ,
  303.0   282.4   327.5   294.7 ArialMT        11.04 2.2.3
  327.5   282.4   365.2   294.7 ArialMT        11.04 , 2.2.5,
  366.1   282.4   390.5   294.7 ArialMT        11.04 3.1.1
  390.4   282.4   396.6   294.7 ArialMT        11.04 ,
  397.5   282.4   460.5   294.7 ArialMT        11.04 3.1.3 – 3.1.8
  460.4   282.4   466.6   294.7 ArialMT        11.04 ,
  467.5   282.4   530.5   294.7 ArialMT        11.04 3.2.1 – 3.2.5
  530.3   282.4   536.3   294.7 ArialMT        11.04 ,
   78.0   295.0   102.6   307.3 ArialMT        11.04 3.3.4
  102.5   295.0   108.7   307.3 ArialMT        11.04 ,
  109.8   295.0   134.3   307.3 ArialMT        11.04 3.3.8
  134.2   295.0   140.2   307.3 ArialMT        11.04 ,
  141.4   295.0   172.0   307.3 ArialMT        11.04 3.3.10
  172.0   295.0   178.0   307.3 ArialMT        11.04 ,
  179.2   295.0   194.4   307.3 ArialMT        11.04 3.4
  194.4   295.0   200.5   307.3 ArialMT        11.04 ,
  201.6   295.0   217.0   307.3 ArialMT        11.04 3.5
  216.9   295.0   223.1   307.3 ArialMT        11.04 ,
  224.1   295.0   248.6   307.3 ArialMT        11.04 4.1.2
  248.6   295.0   254.6   307.3 ArialMT        11.04 ,
  255.8   295.0   280.3   307.3 ArialMT        11.04 4.1.5
  280.2   295.0   286.3   307.3 ArialMT        11.04 ,
  287.5   295.0   311.9   307.3 ArialMT        11.04 5.1.1
  311.8   295.0   317.9   307.3 ArialMT        11.04 ,
  318.9   295.0   343.5   307.3 ArialMT        11.04 5.1.2
  343.4   295.0   349.6   307.3 ArialMT        11.04 ,
  350.7   295.0   375.2   307.3 ArialMT        11.04 5.1.4
  375.1   295.0   381.1   307.3 ArialMT        11.04 ,
  382.3   295.0   406.8   307.3 ArialMT        11.04 5.1.5
  406.8   295.0   412.8   307.3 ArialMT        11.04 ,
  414.0   295.0   438.4   307.3 ArialMT        11.04 5.2.1
  438.3   295.0   444.4   307.3 ArialMT        11.04 ,
  445.5   295.0   470.0   307.3 ArialMT        11.04 6.1.1
  470.0   295.0   476.1   307.3 ArialMT        11.04 ,
  477.2   295.0   501.7   307.3 ArialMT        11.04 6.1.2
  501.6   295.0   507.8   307.3 ArialMT        11.04 ,
  508.9   295.0   533.4   307.3 ArialMT        11.04 6.2.1
   78.0   307.7   341.7   320.0 ArialMT        11.04 (только для трубопроводов холодильного агента),
  342.7   307.7   367.1   320.0 ArialMT        11.04 6.2.2
  367.0   307.7   373.2   320.0 ArialMT        11.04 ,
  373.9   307.7   398.4   320.0 ArialMT        11.04 6.2.3
  398.4   307.7   404.4   320.0 ArialMT        11.04 ,
  405.2   307.7   467.7   320.0 ArialMT        11.04 6.2.5 – 6.2.8
  467.7   307.7   473.8   320.0 ArialMT        11.04 ,
  474.6   307.7   499.0   320.0 ArialMT        11.04 7.1.2
  498.9   307.7   505.1   320.0 ArialMT        11.04 ,
  505.9   307.7   530.3   320.0 ArialMT        11.04 7.2.2
  530.3   307.7   536.3   320.0 ArialMT        11.04 ,
   78.0   320.3   102.6   332.6 ArialMT        11.04 7.2.3
  102.5   320.3   108.7   332.6 ArialMT        11.04 ,
  109.6   320.3   143.2   332.6 ArialMT        11.04 7.2.4.2
  143.2   320.3   149.2   332.6 ArialMT        11.04 ,
  150.1   320.3   183.8   332.6 ArialMT        11.04 7.2.4.3
  183.7   320.3   189.9   332.6 ArialMT        11.04 ,
  190.9   320.3   215.2   332.6 ArialMT        11.04 7.2.7
  215.2   320.3   221.4   332.6 ArialMT        11.04 ,
  222.3   320.3   246.6   332.6 ArialMT        11.04 8.2.3
  246.6   320.3   252.8   332.6 ArialMT        11.04 ,
  253.7   320.3   278.1   332.6 ArialMT        11.04 8.2.4
  278.1   320.3   284.3   332.6 ArialMT        11.04 ,
  285.2   320.3   315.7   332.6 ArialMT        11.04 11.1.2
  315.7   320.3   536.2   332.6 ArialMT        11.04 (только для оборудования, работающего
   78.0   332.9   277.0   345.2 ArialMT        11.04 под давлением холодильного агента),
  277.1   332.9   292.5   345.2 ArialMT        11.04 2.5
  292.4   332.9   298.6   345.2 ArialMT        11.04 ,
  298.6   332.9   329.1   345.2 ArialMT        11.04 3.3.12
  329.1   332.9   335.3   345.2 ArialMT        11.04 ,
  335.4   332.9   365.9   345.2 ArialMT        11.04 11.1.3
  365.8   332.9   372.0   345.2 ArialMT        11.04 ,
  372.1   332.9   402.7   345.2 ArialMT        11.04 11.1.6
  402.5   332.9   408.7   345.2 ArialMT        11.04 ,
  408.8   332.9   439.3   345.2 ArialMT        11.04 11.2.2
  439.1   332.9   445.3   345.2 ArialMT        11.04 ,
  445.4   332.9   476.0   345.2 ArialMT        11.04 11.2.4
  475.9   332.9   488.2   345.2 ArialMT        11.04 и
  488.3   332.9   518.8   345.2 ArialMT        11.04 11.2.6
  518.7   332.9   524.8   345.2 ArialMT        11.04 .
