  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 31
  266.3    99.4   348.3   112.8 Arial-BoldMT   12.00 8 ИЗОЛЯЦИЯ
  178.3   131.1   436.0   143.5 Arial-BoldMT   11.04 8.1 ИЗОЛЯЦИЯ ОХЛАЖДАЕМЫХ ПОМЕЩЕНИЙ
   99.4   155.9   124.0   168.2 Arial-BoldMT   11.04 8.1.1
  148.9   155.9   536.1   168.2 ArialMT        11.04 Внутри охлаждаемых грузовых помещений все металлические части
   78.0   168.5   299.4   180.8 ArialMT        11.04 корпуса судна должны быть изолированы.
   99.4   181.2   124.0   193.5 Arial-BoldMT   11.04 8.1.2
  148.9   181.2   536.1   193.5 ArialMT        11.04 Изоляционные материалы охлаждаемых грузовых помещений должны
   78.0   193.8   417.4   206.1 ArialMT        11.04 выполняться из биостойких материалов, не выделяющих запаха.
   99.4   206.4   124.0   218.7 Arial-BoldMT   11.04 8.1.3
  148.9   206.4   536.3   218.7 ArialMT        11.04 Поверхности переборок и настила двойного дна в районе расположения
   78.0   219.1   536.3   231.4 ArialMT        11.04 топливных танков и цистерн должны иметь покрытие из нефтестойкого материала,
   78.0   231.7   536.1   244.0 ArialMT        11.04 не выделяющего запаха. Нанесение этого покрытия должно производиться прежде чем
   78.0   244.4   354.3   256.7 ArialMT        11.04 будет выполнена изоляция указанных поверхностей.
   99.4   257.0   124.0   269.3 Arial-BoldMT   11.04 8.1.4
  148.9   257.0   536.1   269.3 ArialMT        11.04 Изоляция охлаждаемых грузовых помещений должна быть защищена
   78.0   269.7   536.3   282.0 ArialMT        11.04 от проникновения влаги или снабжена надежными средствами осушения ее в период
   78.0   282.4   398.4   294.7 ArialMT        11.04 эксплуатации, а также защищена от повреждения грызунами.
   99.4   295.0   124.0   307.3 Arial-BoldMT   11.04 8.1.5
  148.9   295.0   536.1   307.3 ArialMT        11.04 Изоляция охлаждаемых грузовых помещений должна иметь обшивку или
   78.0   307.7   536.3   320.0 ArialMT        11.04 иное защитное покрытие. В тех местах, где обшивка может быть повреждена грузом, она
   78.0   320.3   254.9   332.6 ArialMT        11.04 должна быть надежно защищена.
   99.4   332.9   124.0   345.2 Arial-BoldMT   11.04 8.1.6
  148.9   332.9   503.1   345.2 ArialMT        11.04 Изоляция морозильных аппаратов должна отвечать требованиям
  505.8   332.9   530.4   345.2 ArialMT        11.04 8.1.2
  530.3   332.9   536.3   345.2 ArialMT        11.04 ,
   78.0   345.6   102.6   357.9 ArialMT        11.04 8.1.4
  102.5   345.6   114.8   357.9 ArialMT        11.04 и
  114.9   345.6   139.3   357.9 ArialMT        11.04 8.1.5
  139.2   345.6   145.3   357.9 ArialMT        11.04 .
