  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 17
   99.4    99.3   133.0   111.7 Arial-BoldMT   11.04 3.3.11
  148.9    99.3   536.2   111.7 ArialMT        11.04 Прокладка трубопроводов в охлаждаемых помещениях должна отвечать
   78.0   112.1   368.3   124.4 ArialMT        11.04 требованиям 5.4 части VIII «Системы и трубопроводы».
   99.4   124.7   133.0   137.0 Arial-BoldMT   11.04 3.3.12
  148.9   124.7   416.4   137.0 ArialMT        11.04 Каждое охлаждаемое помещение с температурой 0
  415.9   125.1   420.1   136.9 ArialMT        10.56 °
  420.1   124.7   536.2   137.0 ArialMT        11.04 С и ниже должно быть
   78.0   137.4   536.3   149.7 ArialMT        11.04 оборудовано легко обнаруживаемой сигнальной кнопкой, расположенной в доступном
   78.0   150.0   536.3   162.3 ArialMT        11.04 месте. Сигнал «Человек в помещении» от данной кнопки должен быть выведен в место
   78.0   162.6   221.8   174.9 ArialMT        11.04 несения постоянной вахты.
