  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 32
  212.4    99.5   401.8   111.8 Arial-BoldMT   11.04 8.2 ИЗОЛЯЦИЯ ТРУБОПРОВОДОВ
   99.4   124.1   124.0   136.4 Arial-BoldMT   11.04 8.2.1
  148.9   124.1   536.3   136.4 ArialMT        11.04 Трубопроводы в местах прохода через переборки или палубы не должны
   78.0   136.7   536.2   149.0 ArialMT        11.04 иметь непосредственных контактов с ними во избежание образования тепловых
   78.0   149.4   131.2   161.7 ArialMT        11.04 мостиков.
   99.4   162.0   124.0   174.3 Arial-BoldMT   11.04 8.2.2
  148.9   162.0   490.8   174.3 ArialMT        11.04 Изоляция трубопроводов должна быть защищена от увлажнения.
   99.4   174.6   124.0   186.9 Arial-BoldMT   11.04 8.2.3
  148.9   174.6   171.8   186.9 ArialMT        11.04 Для
  184.3   174.6   235.6   186.9 ArialMT        11.04 изоляции
  248.1   174.6   328.6   186.9 ArialMT        11.04 трубопроводов
  341.2   174.6   384.5   186.9 ArialMT        11.04 должны
  397.0   174.6   466.1   186.9 ArialMT        11.04 применяться
  478.6   174.6   536.3   186.9 ArialMT        11.04 негорючие
   78.0   187.3   536.3   199.6 ArialMT        11.04 изоляционные материалы в соответствии с 1.6.3.1 части VI «Противопожарная защита».
   99.4   199.9   536.1   212.2 ArialMT        11.04 Это требование не распространяется на изоляцию трубопроводов, расположенных
   78.0   212.6   466.1   224.9 ArialMT        11.04 в пределах охлаждаемых грузовых помещений и охлаждаемых кладовых.
   99.3   225.2   536.1   237.5 ArialMT        11.04 На рыболовных судах допускается применять горючие изоляционные материалы,
   78.0   237.8   536.1   250.1 ArialMT        11.04 для изоляции трубопроводов, проходящих в помещениях специально оборудованных
   78.0   250.5   536.0   262.9 ArialMT        11.04 рыбообрабатывающих цехов (для разделки и мойки рыбы в сыром виде, морозильных,
   78.0   263.1   496.2   275.5 ArialMT        11.04 консервных), при условии, что обеспечено покрытие изоляции листовой сталью.
   99.4   275.9   124.0   288.2 Arial-BoldMT   11.04 8.2.4
  148.9   275.9   252.8   288.2 ArialMT        11.04 Пароизоляционные
  263.5   275.9   314.6   288.2 ArialMT        11.04 покрытия
  325.5   275.9   334.7   288.2 ArialMT        11.04 и
  345.5   275.9   375.1   288.2 ArialMT        11.04 клеи,
  385.8   275.9   460.6   288.2 ArialMT        11.04 применяемые
  471.4   275.9   536.3   288.2 ArialMT        11.04 в сочетании
   78.0   288.5   508.7   300.8 ArialMT        11.04 с изоляцией, и изоляция арматуры трубопроводов могут не отвечать требованиям
  508.9   288.5   533.4   300.8 ArialMT        11.04 8.2.3
   78.0   301.2   536.2   313.5 ArialMT        11.04 при условии, что их количество минимально, а их открытые части имеют характеристики
   78.0   313.8   142.3   326.1 ArialMT        11.04 медленного
  156.2   313.8   248.3   326.1 ArialMT        11.04 распространения
  262.3   313.8   309.6   326.1 ArialMT        11.04 пламени
  323.6   313.8   404.2   326.1 ArialMT        11.04 в соответствии
  418.1   313.8   463.5   326.1 ArialMT        11.04 с 1.6.3.5
  477.4   313.8   509.0   326.1 ArialMT        11.04 части
  523.0   313.8   536.3   326.1 ArialMT        11.04 VI
   78.0   326.4   230.2   338.7 ArialMT        11.04 «Противопожарная защита».
