  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 34
  124.7    99.4   489.9   112.8 Arial-BoldMT   12.00 10 СИСТЕМА РЕГУЛИРОВАНИЯ СОСТАВА ГАЗОВОЙ СРЕДЫ
  145.1   131.1   469.2   143.5 Arial-BoldMT   11.04 10.1 ОБЩИЕ ПОЛОЖЕНИЯ И ТЕХНИЧЕСКИЕ ТРЕБОВАНИЯ
   99.4   155.9   133.0   168.2 Arial-BoldMT   11.04 10.1.1
  148.9   155.9   512.5   168.2 ArialMT        11.04 Для дополнения символа класса холодильной установки знаком
  517.5   155.9   533.6   168.2 Arial-BoldMT   11.04 CA
   78.0   168.5   536.0   180.8 ArialMT        11.04 (см. 4.2.2.4 части I «Классификация») объем охлаждаемых помещений, оборудованных
   78.0   181.2   536.3   193.5 ArialMT        11.04 системой регулирования состава газовой среды, должен составлять не менее 50 %
   78.0   193.8   285.8   206.1 ArialMT        11.04 объема всех охлаждаемых помещений.
   99.4   206.4   133.0   218.7 Arial-BoldMT   11.04 10.1.2
  148.9   206.4   230.6   218.7 ArialMT        11.04 Оборудование,
  249.8   206.4   305.8   218.7 ArialMT        11.04 прокладка
  325.0   206.4   405.6   218.7 ArialMT        11.04 трубопроводов
  424.9   206.4   468.2   218.7 ArialMT        11.04 должны
  487.4   206.4   536.1   218.7 ArialMT        11.04 отвечать
   78.0   219.1   148.5   231.4 ArialMT        11.04 требованиям
  148.6   219.1   173.1   231.4 ArialMT        11.04 2.1.1
  172.9   219.1   179.1   231.4 ArialMT        11.04 ,
  179.2   219.1   194.4   231.4 ArialMT        11.04 2.5
  194.4   219.1   200.5   231.4 ArialMT        11.04 ,
  200.4   219.1   225.1   231.4 ArialMT        11.04 4.1.1
  224.9   219.1   231.1   231.4 ArialMT        11.04 ,
  231.2   219.1   255.6   231.4 ArialMT        11.04 5.1.1
  255.5   219.1   261.7   231.4 ArialMT        11.04 ,
  261.8   219.1   286.2   231.4 ArialMT        11.04 6.2.1
  286.1   219.1   298.4   231.4 ArialMT        11.04 и
  298.5   219.1   322.9   231.4 ArialMT        11.04 7.2.1
  322.9   219.1   328.9   231.4 ArialMT        11.04 .
   99.4   231.7   133.0   244.0 Arial-BoldMT   11.04 10.1.3
  148.9   231.7   536.1   244.0 ArialMT        11.04 Каждое охлаждаемое помещение, обслуживаемое системой, должно
   78.0   244.4   536.3   256.7 ArialMT        11.04 оборудоваться предохранительным устройством, давление срабатывания и пропускная
   78.0   257.0   145.2   269.3 ArialMT        11.04 способность
  155.2   257.0   202.5   269.3 ArialMT        11.04 которого
  212.5   257.0   255.9   269.3 ArialMT        11.04 должны
  265.9   257.0   322.6   269.3 ArialMT        11.04 исключать
  332.6   257.0   402.1   269.3 ArialMT        11.04 возможность
  412.1   257.0   474.2   269.3 ArialMT        11.04 повышения
  484.1   257.0   536.1   269.3 ArialMT        11.04 давления
   78.0   269.7   483.3   282.0 ArialMT        11.04 в помещении выше 0,5 кПа и возможность понижения давления ниже 0,2 кПа.
   99.4   282.4   133.0   294.7 Arial-BoldMT   11.04 10.1.4
  148.9   282.4   536.2   294.7 ArialMT        11.04 Отвод газа от предохранительного устройства должен осуществляться
   78.0   295.0   536.3   307.3 ArialMT        11.04 через вертикальные каналы на высоту не менее 2 м от верхней палубы и не ближе 4 м
   78.0   307.7   406.5   320.0 ArialMT        11.04 от воздухозаборников системы вентиляции жилых помещений.
   99.4   320.3   133.0   332.6 Arial-BoldMT   11.04 10.1.5
  148.9   320.3   536.1   332.6 ArialMT        11.04 Должны быть предусмотрены меры, исключающие возможность подачи
   78.0   332.9   429.3   345.2 ArialMT        11.04 инертного газа в разгерметизированные охлаждаемые помещения.
   99.4   345.6   133.0   357.9 Arial-BoldMT   11.04 10.1.6
  148.9   345.6   536.3   357.9 ArialMT        11.04 Используемый в системе инертный газ должен быть не агрессивен
   78.0   358.2   536.1   370.5 ArialMT        11.04 по отношению к перевозимому грузу, материалам изоляции и конструкции охлаждаемых
   78.0   370.9   143.5   383.2 ArialMT        11.04 помещений.
   99.4   383.5   133.0   395.8 Arial-BoldMT   11.04 10.1.7
  148.9   383.5   536.1   395.8 ArialMT        11.04 Система должна быть оборудована автоматической предупредительной
   78.0   396.3   536.2   408.6 ArialMT        11.04 звуковой и световой сигнализацией, срабатывающей не менее чем за 60 с до момента
   78.0   408.9   199.9   421.2 ArialMT        11.04 подачи инертного газа.
   99.4   421.5   536.1   433.8 ArialMT        11.04 Взаимное блокирование предупредительной сигнализации и впускного клапана
   78.0   434.2   447.4   446.5 ArialMT        11.04 должно исключать возможность открытия клапана без подачи сигнала.
   99.4   446.8   133.0   459.1 Arial-BoldMT   11.04 10.1.8
  148.9   446.8   226.1   459.1 ArialMT        11.04 Охлаждаемые
  241.5   446.8   306.6   459.1 ArialMT        11.04 помещения,
  322.0   446.8   408.0   459.1 ArialMT        11.04 обслуживаемые
  423.4   446.8   477.6   459.1 ArialMT        11.04 системой,
  493.1   446.8   536.3   459.1 ArialMT        11.04 должны
   78.0   459.5   536.3   471.8 ArialMT        11.04 оборудоваться независимой вентиляцией, обеспечивающей не менее чем двукратный
   78.0   472.1   189.2   484.4 ArialMT        11.04 обмен воздуха в час.
   99.4   484.7   133.0   497.0 Arial-BoldMT   11.04 10.1.9
  148.9   484.7   536.2   497.0 ArialMT        11.04 Помещения, смежные с охлаждаемыми помещениями, оборудованными
   78.0   497.4   536.2   509.7 ArialMT        11.04 системой, и имеющие доступ в них, должны оборудоваться независимой стационарной
   78.0   510.0   536.3   522.3 ArialMT        11.04 системой вентиляции, обеспечивающей по крайней мере шестикратный обмен воздуха
   78.0   522.8   110.4   535.1 ArialMT        11.04 в час.
   99.4   535.4   139.2   547.7 Arial-BoldMT   11.04 10.1.10
  148.9   535.4   456.0   547.7 ArialMT        11.04 Пульты управления вентиляцией помещений, указанных в
  456.1   535.4   486.7   547.7 ArialMT        11.04 10.1.8
  486.6   535.4   499.4   547.7 ArialMT        11.04 и
  499.9   535.4   530.5   547.7 ArialMT        11.04 10.1.9
  530.3   535.4   536.3   547.7 ArialMT        11.04 ,
   78.0   548.0   369.3   560.3 ArialMT        11.04 должны располагаться вне вентилируемых помещений.
   99.4   560.7   139.2   573.0 Arial-BoldMT   11.04 10.1.11
  148.9   560.7   365.4   573.0 ArialMT        11.04 Для вентиляции других, не указанных в
  365.5   560.7   396.0   573.0 ArialMT        11.04 10.1.9
  396.0   560.7   536.3   573.0 ArialMT        11.04 смежных помещений, на
   78.0   573.3   536.2   585.6 ArialMT        11.04 судне должно быть предусмотрено не менее двух переносных вентиляторов, каждый из
   78.0   586.0   485.2   598.3 ArialMT        11.04 которых должен обеспечивать не менее чем двукратный обмен воздуха в час.
   99.4   598.6   139.2   610.9 Arial-BoldMT   11.04 10.1.12
  148.9   598.6   226.1   610.9 ArialMT        11.04 Охлаждаемые
  241.5   598.6   306.6   610.9 ArialMT        11.04 помещения,
  322.0   598.6   408.0   610.9 ArialMT        11.04 обслуживаемые
  423.4   598.6   477.5   610.9 ArialMT        11.04 системой,
  492.9   598.6   536.1   610.9 ArialMT        11.04 должны
   78.0   611.2   536.2   623.5 ArialMT        11.04 оборудоваться стационарными устройствами, обеспечивающими возможность контроля
   78.0   623.9   454.1   636.2 ArialMT        11.04 объемного содержания кислорода в помещениях перед их посещением.
   99.4   636.5   536.3   648.8 ArialMT        11.04 Дополнительно на судне должно быть предусмотрено не менее двух переносных
   78.0   649.3   247.0   661.6 ArialMT        11.04 кислородных газоанализаторов.
   99.4   661.9   139.2   674.2 Arial-BoldMT   11.04 10.1.13
  148.9   661.9   536.3   674.2 ArialMT        11.04 Приточные и вытяжные каналы системы не должны прокладываться через
   78.0   674.6   249.8   686.9 ArialMT        11.04 жилые и служебные помещения.
