  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  302.6    74.1   311.8    86.4 Arial-ItalicMT 11.04 6
  103.2    99.5   511.1   111.8 Arial-BoldMT   11.04 1.3 ОБЪЕМ ОСВИДЕТЕЛЬСТВОВАНИЙ И ТЕХНИЧЕСКАЯ ДОКУМЕНТАЦИЯ
   99.4   124.1   124.0   136.4 Arial-BoldMT   11.04 1.3.1
  148.9   124.1   536.2   136.4 ArialMT        11.04 Общие принципы и порядок классификации, освидетельствований,
   78.0   136.7   536.2   149.0 ArialMT        11.04 а также требования к технической документации, представляемой на рассмотрение
   78.0   149.4   536.1   161.7 ArialMT        11.04 и одобрение Регистру, изложены в Общих положениях о классификационной и иной
   78.0   162.0   396.3   174.3 ArialMT        11.04 деятельности, а также в разд. 4 части I «Классификация» и в
  396.3   162.0   438.3   174.3 ArialMT        11.04 разд. 11
  438.2   162.0   535.1   174.3 ArialMT        11.04 настоящей части.
   99.4   174.6   536.2   186.9 ArialMT        11.04 Объем технической документации для компрессоров и насосов, представляемой на
   78.0   187.3   536.1   199.6 ArialMT        11.04 рассмотрение Регистру, приведен в 1.2.3.2 части IX «Механизмы», а для аппаратов и
   78.0   199.9   122.1   212.2 ArialMT        11.04 сосудов
  131.3   199.9   145.3   212.2 ArialMT        11.04 —
  154.5   199.9   199.9   212.2 ArialMT        11.04 в 1.3.4.1
  209.0   199.9   240.5   212.2 ArialMT        11.04 части
  249.6   199.9   260.1   212.2 ArialMT        11.04 Х
  269.2   199.9   313.2   212.2 ArialMT        11.04 «Котлы,
  322.5   199.9   407.4   212.2 ArialMT        11.04 теплообменные
  416.6   199.9   469.0   212.2 ArialMT        11.04 аппараты
  478.1   199.9   487.2   212.2 ArialMT        11.04 и
  496.3   199.9   536.2   212.2 ArialMT        11.04 сосуды
   78.0   212.6   168.7   224.9 ArialMT        11.04 под давлением».
   99.4   225.2   124.0   237.5 Arial-BoldMT   11.04 1.3.2
  148.9   225.2   536.2   237.5 ArialMT        11.04 Следующие механизмы и аппараты в процессе изготовления подлежат
   78.0   237.8   252.6   250.1 ArialMT        11.04 освидетельствованию Регистром:
   99.4   250.5   111.6   262.9 Arial-BoldMT   11.04 .1
  127.7   250.5   309.4   262.9 ArialMT        11.04 компрессоры холодильного агента;
   99.4   263.1   111.6   275.5 Arial-BoldMT   11.04 .2
  127.7   263.1   278.7   275.5 ArialMT        11.04 насосы холодильного агента;
   99.4   275.9   111.6   288.2 Arial-BoldMT   11.04 .3
  127.7   275.9   255.2   288.2 ArialMT        11.04 насосы холодоносителя;
   99.4   288.5   111.6   300.8 Arial-BoldMT   11.04 .4
  127.7   288.5   274.0   300.8 ArialMT        11.04 насосы охлаждающей воды;
   99.4   301.2   111.6   313.5 Arial-BoldMT   11.04 .5
  127.7   301.2   212.8   313.5 ArialMT        11.04 теплообменные
  222.6   301.2   231.8   313.5 ArialMT        11.04 и
  241.4   301.2   278.7   313.5 ArialMT        11.04 другие
  288.4   301.2   344.0   313.5 ArialMT        11.04 аппараты,
  353.8   301.2   362.9   313.5 ArialMT        11.04 а
  372.6   301.2   405.2   313.5 ArialMT        11.04 также
  414.9   301.2   458.1   313.5 ArialMT        11.04 сосуды,
  467.7   301.2   536.0   313.5 ArialMT        11.04 работающие
   78.0   313.8   488.2   326.1 ArialMT        11.04 под давлением холодильного агента, холодоносителя или охлаждающей воды;
   99.4   326.4   111.6   338.7 Arial-BoldMT   11.04 .6
  127.7   326.4   482.6   338.7 ArialMT        11.04 трубы и арматура, предназначенные для давления 1,0 МПа и более;
   99.4   339.1   111.6   351.4 Arial-BoldMT   11.04 .7
  127.7   339.1   536.2   351.4 ArialMT        11.04 приборы систем управления, контроля и защиты, а также приборы,
