  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 18
  163.1    99.5   451.2   111.8 Arial-BoldMT   11.04 3.4 МОРОЗИЛЬНЫЕ И ОХЛАЖДАЮЩИЕ АППАРАТЫ
   99.4   124.1   126.9   136.4 Arial-BoldMT   11.04 3.4.1
  148.9   124.1   217.8   136.4 ArialMT        11.04 Размещение
  229.0   124.1   339.0   136.4 ArialMT        11.04 воздухоохладителей
  350.2   124.1   359.4   136.4 ArialMT        11.04 и
  370.6   124.1   444.3   136.4 ArialMT        11.04 вентиляторов
  455.5   124.1   536.3   136.4 ArialMT        11.04 в морозильных
   78.0   136.7   295.0   149.0 ArialMT        11.04 аппаратах должно отвечать требованиям
  295.1   136.7   319.6   149.0 ArialMT        11.04 3.3.1
  319.5   136.7   325.6   149.0 ArialMT        11.04 .
   99.4   149.4   126.9   161.7 Arial-BoldMT   11.04 3.4.2
  148.9   149.4   536.2   161.7 ArialMT        11.04 В отделении холодильных машин должны быть предусмотрены устройства
   78.0   162.0   425.4   174.3 ArialMT        11.04 для контроля за работой морозильных и охлаждающих аппаратов.
