  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 14
   78.0    99.3   536.1   111.7 ArialMT        11.04 Устройства для включения этой вентиляции должны находиться снаружи и внутри
   78.0   112.1   509.1   124.4 ArialMT        11.04 отделения холодильных машин, в непосредственной близости от выходной двери.
   99.4   124.7   126.9   137.0 Arial-BoldMT   11.04 3.1.5
  148.9   124.7   536.1   137.0 ArialMT        11.04 Выходы из отделения холодильных машин, работающих на холодильных
   78.0   137.4   536.1   149.7 ArialMT        11.04 агентах группы II, должны иметь устройства для создания водяных завес. Устройство
   78.0   150.0   536.3   162.3 ArialMT        11.04 для включения водяных завес должно находиться снаружи в непосредственной близости
   78.0   162.6   536.3   174.9 ArialMT        11.04 от каждой выходной двери и соответствовать требованиям 21.2.3 и 21.2.4 части XI
   78.0   175.3   245.0   187.6 ArialMT        11.04 "Электрическое оборудование".
   99.4   187.9   513.5   200.2 ArialMT        11.04 В отделении холодильных машин необходимо иметь пожарный кран с рукавом.
   99.4   200.6   126.9   212.9 Arial-BoldMT   11.04 3.1.6
  148.9   200.6   536.3   212.9 ArialMT        11.04 Отделение холодильных машин и другие помещения, в которых
   78.0   213.2   141.2   225.5 ArialMT        11.04 размещены
  151.8   213.2   223.8   225.5 ArialMT        11.04 холодильные
  234.4   213.2   283.0   225.5 ArialMT        11.04 машины,
  293.5   213.2   336.9   225.5 ArialMT        11.04 должны
  347.5   213.2   381.0   225.5 ArialMT        11.04 иметь
  391.6   213.2   457.2   225.5 ArialMT        11.04 автономную
  467.8   213.2   536.1   225.5 ArialMT        11.04 вентиляцию,
   78.0   225.8   344.4   238.1 ArialMT        11.04 обеспечивающую 10-кратный обмен воздуха в час.
   99.4   238.5   126.9   250.9 Arial-BoldMT   11.04 3.1.7
  148.9   238.5   394.9   250.9 ArialMT        11.04 Кроме основной вентиляции, требуемой в
  395.0   238.5   419.5   250.9 ArialMT        11.04 3.1.6
  419.5   238.5   536.3   250.9 ArialMT        11.04 , каждое отделение
   78.0   251.1   149.5   263.5 ArialMT        11.04 холодильных
  162.7   251.1   200.4   263.5 ArialMT        11.04 машин
  213.7   251.1   255.2   263.5 ArialMT        11.04 должно
  268.4   251.1   296.5   263.5 ArialMT        11.04 быть
  309.7   251.1   379.6   263.5 ArialMT        11.04 оборудовано
  392.9   251.1   450.5   263.5 ArialMT        11.04 аварийной
  463.8   251.1   536.1   263.5 ArialMT        11.04 вентиляцией,
   78.0   263.9   170.6   276.2 ArialMT        11.04 обеспечивающей:
   99.4   276.5   111.6   288.8 Arial-BoldMT   11.04 .1
  127.7   276.5   536.2   288.8 ArialMT        11.04 30-кратный обмен воздуха в час для отделений холодильных машин,
   78.0   289.2   325.2   301.5 ArialMT        11.04 работающих на холодильных агентах группы II;
   99.4   301.8   111.6   314.1 Arial-BoldMT   11.04 .2
  127.7   301.8   536.2   314.1 ArialMT        11.04 20-кратный обмен воздуха в час для отделений холодильных машин,
   78.0   314.4   322.2   326.7 ArialMT        11.04 работающих на холодильных агентах группы I.
   99.4   327.1   536.1   339.4 ArialMT        11.04 В зависимости от плотности холодильного агента система вентиляции должна
   78.0   339.7   486.2   352.0 ArialMT        11.04 обеспечивать отсос воздуха из самых верхних или нижних частей помещения.
   99.4   352.5   536.1   364.8 ArialMT        11.04 При расчете системы аварийной вентиляции допускается учитывать подачу
   78.0   365.1   152.0   377.4 ArialMT        11.04 вентиляторов
  163.3   365.1   214.3   377.4 ArialMT        11.04 основной
  225.6   365.1   288.9   377.4 ArialMT        11.04 вентиляции
  300.2   365.1   321.4   377.4 ArialMT        11.04 при
  332.7   365.1   380.5   377.4 ArialMT        11.04 условии,
  391.8   365.1   411.8   377.4 ArialMT        11.04 что
  423.1   365.1   444.3   377.4 ArialMT        11.04 при
  455.6   365.1   536.1   377.4 ArialMT        11.04 обесточивании
   78.0   377.7   536.3   390.0 ArialMT        11.04 распределительного щита холодильных машин основная вентиляция будет действовать
   78.0   390.4   204.5   402.7 ArialMT        11.04 совместно с аварийной.
   99.4   403.0   126.9   415.3 Arial-BoldMT   11.04 3.1.8
  148.9   403.0   536.2   415.3 ArialMT        11.04 У выходов из отделения холодильных машин должно быть предусмотрено
   78.0   415.7   128.4   428.0 ArialMT        11.04 не менее
  137.4   415.7   163.6   428.0 ArialMT        11.04 двух
  172.7   415.7   244.5   428.0 ArialMT        11.04 дыхательных
  253.5   415.7   313.0   428.0 ArialMT        11.04 аппаратов,
  322.1   415.7   415.7   428.0 ArialMT        11.04 соответствующих
  424.7   415.7   451.6   428.0 ArialMT        11.04 виду
  460.6   415.7   536.1   428.0 ArialMT        11.04 примененного
   78.0   428.3   536.2   440.6 ArialMT        11.04 холодильного агента, доступ к которым не будет перекрыт в случае утечки холодильного
   78.0   440.9   117.6   453.2 ArialMT        11.04 агента.
   99.4   453.6   536.1   465.9 ArialMT        11.04 У выходов из отделения холодильных машин, работающих на холодильных агентах
   78.0   466.2   536.2   478.5 ArialMT        11.04 группы II, должно быть предусмотрено не менее двух газонепроницаемых защитных
   78.0   479.0   133.4   491.3 ArialMT        11.04 костюмов.
