  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 16
  211.4    99.5   403.0   111.8 Arial-BoldMT   11.04 3.3 ОХЛАЖДАЕМЫЕ ПОМЕЩЕНИЯ
   99.4   124.1   126.9   136.4 Arial-BoldMT   11.04 3.3.1
  148.9   124.1   222.9   136.4 ArialMT        11.04 Холодильные
  231.8   124.1   344.2   136.4 ArialMT        11.04 аппараты, батареи,
  353.1   124.1   417.1   136.4 ArialMT        11.04 механизмы,
  426.0   124.1   476.7   136.4 ArialMT        11.04 приборы,
  485.6   124.1   494.8   136.4 ArialMT        11.04 а
  503.7   124.1   536.1   136.4 ArialMT        11.04 также
   78.0   136.7   536.2   149.0 ArialMT        11.04 трубопроводы и воздуховоды, расположенные в охлаждаемых помещениях, должны
   78.0   149.4   410.8   161.7 ArialMT        11.04 быть надежно закреплены и защищены от повреждения грузом.
   99.4   162.0   126.9   174.3 Arial-BoldMT   11.04 3.3.2
  148.9   162.0   172.2   174.3 ArialMT        11.04 При
  183.3   162.0   228.3   174.3 ArialMT        11.04 системе
  239.4   162.0   302.5   174.3 ArialMT        11.04 воздушного
  313.5   162.0   378.8   174.3 ArialMT        11.04 охлаждения
  389.8   162.0   493.9   174.3 ArialMT        11.04 воздухоохладители
  505.0   162.0   536.2   174.3 ArialMT        11.04 могут
   78.0   174.6   155.8   186.9 ArialMT        11.04 располагаться
  164.9   174.6   183.7   186.9 ArialMT        11.04 как
  192.7   174.6   260.0   186.9 ArialMT        11.04 в отдельных
  269.0   174.6   339.7   186.9 ArialMT        11.04 помещениях,
  348.7   174.6   367.7   186.9 ArialMT        11.04 так
  376.8   174.6   386.0   186.9 ArialMT        11.04 и
  395.0   174.6   478.2   186.9 ArialMT        11.04 в охлаждаемых
  487.2   174.6   536.3   186.9 ArialMT        11.04 грузовых
   78.0   187.3   148.9   199.6 ArialMT        11.04 помещениях.
  166.3   187.3   189.5   199.6 ArialMT        11.04 При
  206.9   187.3   284.2   199.6 ArialMT        11.04 расположении
  301.7   187.3   384.7   199.6 ArialMT        11.04 в охлаждаемых
  402.1   187.3   451.1   199.6 ArialMT        11.04 грузовых
  468.6   187.3   536.2   199.6 ArialMT        11.04 помещениях
   78.0   199.9   536.0   212.2 ArialMT        11.04 воздухоохладители должны быть снабжены сборником конденсата. Для охлаждаемых
   78.0   212.6   140.5   224.9 ArialMT        11.04 помещений
  149.5   212.6   225.3   224.9 ArialMT        11.04 с минусовыми
  234.4   212.6   316.9   224.9 ArialMT        11.04 температурами
  325.9   212.6   376.3   224.9 ArialMT        11.04 сборники
  385.3   212.6   446.5   224.9 ArialMT        11.04 конденсата
  455.6   212.6   536.2   224.9 ArialMT        11.04 рекомендуется
   78.0   225.2   205.1   237.5 ArialMT        11.04 выполнять с обогревом.
   99.4   237.8   126.9   250.1 Arial-BoldMT   11.04 3.3.3
  148.9   237.8   536.1   250.1 ArialMT        11.04 При системе воздушного охлаждения должен быть обеспечен доступ к
   78.0   250.5   536.1   262.9 ArialMT        11.04 воздухоохладителям при полностью загруженном грузовом помещении. В противном
   78.0   263.1   536.0   275.5 ArialMT        11.04 случае доступ к воздухоохладителям должен быть предусмотрен из неохлаждаемых
   78.0   275.9   536.3   288.2 ArialMT        11.04 соседних помещений. Проходное отверстие в помещение воздухоохладителей должно
