  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 24
  152.2    99.5   462.0   111.8 Arial-BoldMT   11.04 5.2 ВОЗДУХООХЛАДИТЕЛИ, ОХЛАЖДАЮЩИЕ БАТАРЕИ
   99.4   124.1   124.0   136.4 Arial-BoldMT   11.04 5.2.1
  148.9   124.1   536.1   136.4 ArialMT        11.04 Воздухоохладители, работающие под давлением холодильного агента,
   78.0   136.7   536.0   149.0 ArialMT        11.04 должны иметь сварную или паяную конструкцию. Фланцевые соединения между
   78.0   149.4   536.3   161.7 ArialMT        11.04 секциями и трубопроводами должны применяться только в необходимых случаях; при
   78.0   162.0   536.2   174.3 ArialMT        11.04 этом все фланцевые соединения должны располагаться в легкодоступных местах,
   78.0   174.6   412.3   186.9 ArialMT        11.04 обеспечивающих возможность проверки плотности соединений.
   99.4   187.3   124.0   199.6 Arial-BoldMT   11.04 5.2.2
  148.9   187.3   536.1   199.6 ArialMT        11.04 Если для охлаждения грузовых помещений применяется только один
   78.0   199.9   536.3   212.2 ArialMT        11.04 воздухоохладитель, он должен состоять не менее чем из двух самостоятельных секций,
   78.0   212.6   321.0   224.9 ArialMT        11.04 каждая из которых должна быть отключаемой.
   99.4   225.2   124.0   237.5 Arial-BoldMT   11.04 5.2.3
  148.9   225.2   536.1   237.5 ArialMT        11.04 Расположение охлаждающих батарей должно обеспечивать равномерное
   78.0   237.8   208.7   250.1 ArialMT        11.04 охлаждение помещения.
   99.4   250.5   536.2   262.9 ArialMT        11.04 Батареи должны объединяться не менее чем в две самостоятельные секции, каждая
   78.0   263.1   281.2   275.5 ArialMT        11.04 из которых должна быть отключаемой.
   99.4   275.9   124.0   288.2 Arial-BoldMT   11.04 5.2.4
  148.9   275.9   536.1   288.2 ArialMT        11.04 Охлаждающие устройства грузовых охлаждаемых помещений должны
   78.0   288.5   459.6   300.8 ArialMT        11.04 иметь эффективную систему или средство для удаления снеговой шубы.
