  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 26
  248.3    99.5   366.0   111.8 Arial-BoldMT   11.04 6.2 ТРУБОПРОВОДЫ
   99.4   124.1   124.0   136.4 Arial-BoldMT   11.04 6.2.1
  148.9   124.1   227.4   136.4 ArialMT        11.04 Трубопроводы
  244.5   124.1   283.4   136.4 ArialMT        11.04 систем
  300.7   124.1   374.9   136.4 ArialMT        11.04 холодильного
  392.2   124.1   431.9   136.4 ArialMT        11.04 агента,
  449.2   124.1   536.1   136.4 ArialMT        11.04 холодоносителя
   78.0   136.7   536.1   149.0 ArialMT        11.04 и охлаждающей воды, а также воздухопроводы должны отвечать применимым
   78.0   149.4   536.1   161.7 ArialMT        11.04 требованиям разд. 2 и 5.4 части VIII «Системы и трубопроводы», а также требованиям
   78.0   162.0   173.6   174.3 ArialMT        11.04 настоящей главы.
   99.4   174.6   536.0   186.9 ArialMT        11.04 При этом трубопроводы холодильного агента группы I относятся к трубопроводам
   78.0   187.3   536.2   199.6 ArialMT        11.04 класса II, а трубопроводы холодильных агентов группы II — к трубопроводам класса I
   78.0   199.9   426.0   212.2 ArialMT        11.04 в соответствии с табл. 1.3.2 части VIII «Системы и трубопроводы».
   99.4   212.6   124.0   224.9 Arial-BoldMT   11.04 6.2.2
  148.9   212.6   536.1   224.9 ArialMT        11.04 Трубопроводы холодильного агента должны изготовляться из бесшовных
   78.0   225.2   536.0   237.5 ArialMT        11.04 труб. Соединения стальных трубопроводов холодильного агента должны, как правило,
   78.0   237.8   536.3   250.1 ArialMT        11.04 выполняться сваркой, а медных – сваркой или пайкой твердым припоем. Разъемные
   78.0   250.5   141.8   262.9 ArialMT        11.04 соединения
  153.8   250.5   219.9   262.9 ArialMT        11.04 допускается
  231.9   250.5   289.7   262.9 ArialMT        11.04 применять
  301.8   250.5   349.4   262.9 ArialMT        11.04 в местах
  361.5   250.5   443.5   262.9 ArialMT        11.04 присоединения
  455.5   250.5   536.2   262.9 ArialMT        11.04 трубопроводов
