  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 30
   99.4    99.3   478.4   111.7 ArialMT        11.04 при трехкратном увеличении ПДК в охраняемом помещении (60 мг/м
  478.5    99.1   482.4   106.8 ArialMT         6.96 3
  482.4    99.3   536.3   111.7 ArialMT        11.04 ). В этом
   78.0   112.1   536.1   124.4 ArialMT        11.04 случае должно быть обеспечено автоматическое включение аварийной вентиляции,
   78.0   124.7   352.9   137.0 ArialMT        11.04 за исключением грузовых охлаждаемых помещений;
   99.4   137.4   320.1   149.7 ArialMT        11.04 при достижении концентрации 500 мг/м
  320.1   137.1   324.0   144.9 ArialMT         6.96 3
  324.0   137.4   536.3   149.7 ArialMT        11.04 . В этом случае доступ в помещение
   78.0   150.0   399.3   162.3 ArialMT        11.04 без средств индивидуальной защиты должен быть запрещен.
   99.4   162.6   536.1   174.9 ArialMT        11.04 Предупредительная звуковая и световая индикация сигналов должна быть
   78.0   175.3   536.2   187.6 ArialMT        11.04 выведена в охраняемые помещения и перед входом в эти помещения, а также должна
   78.0   187.9   344.3   200.2 ArialMT        11.04 дублироваться в месте несения постоянной вахты.
   99.4   200.6   124.0   212.9 Arial-BoldMT   11.04 7.2.8
  148.9   200.6   536.2   212.9 ArialMT        11.04 Система регулирования температуры, влажности и состава газовой среды
   78.0   213.2   536.1   225.5 ArialMT        11.04 внутри охлаждаемых помещений должна обеспечивать точность поддержания этих
   78.0   225.8   456.8   238.1 ArialMT        11.04 параметров в диапазонах, соответствующих условиям перевозки грузов.
   99.4   238.5   124.0   250.9 Arial-BoldMT   11.04 7.2.9
  148.9   238.5   536.3   250.9 ArialMT        11.04 В случае применения каскадных холодильных машин с двуокисью
   78.0   251.1   128.0   263.5 ArialMT        11.04 углерода
  137.0   251.1   186.9   263.5 ArialMT        11.04 в нижней
  195.8   251.1   227.9   263.5 ArialMT        11.04 ветви
  237.0   251.1   280.0   263.5 ArialMT        11.04 каскада
  289.1   251.1   349.0   263.5 ArialMT        11.04 устройство
  358.0   251.1   453.9   263.5 ArialMT        11.04 вспомогательного
  463.0   251.1   536.1   263.5 ArialMT        11.04 (стояночного)
   78.0   263.9   536.1   276.2 ArialMT        11.04 охлаждения нижней ветви каскада должно включаться автоматически при отключении
   78.0   276.5   536.3   288.8 ArialMT        11.04 каскадной холодильной машины и поддерживать требуемую температуру в течение
   78.0   289.2   393.6   301.5 ArialMT        11.04 всего времени отключения каскадной холодильной машины.
