  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 29
  125.5    99.5   488.8   111.8 Arial-BoldMT   11.04 7.2 УПРАВЛЕНИЕ, ЗАЩИТА, РЕГУЛИРОВАНИЕ И СИГНАЛИЗАЦИЯ
   99.4   124.1   124.0   136.4 Arial-BoldMT   11.04 7.2.1
  148.9   124.1   536.2   136.4 ArialMT        11.04 Устройства защиты, регулирования и сигнализации должны отвечать
   78.0   136.7   365.2   149.0 ArialMT        11.04 применимым требованиям части XV «Автоматизация».
   99.4   149.4   536.0   161.7 ArialMT        11.04 Требования к управлению, регулированию, защите и сигнализации холодильных
   78.0   162.0   529.7   174.3 ArialMT        11.04 установок с безвахтенным обслуживанием изложены в 4.8 части XV «Автоматизация».
   99.4   174.6   124.0   186.9 Arial-BoldMT   11.04 7.2.2
  148.9   174.6   536.2   186.9 ArialMT        11.04 Должно быть предусмотрено местное управление и возможность
   78.0   187.3   376.1   199.6 ArialMT        11.04 регулирования режимом работы холодильной установки.
   99.4   199.9   124.0   212.2 Arial-BoldMT   11.04 7.2.3
  148.9   199.9   536.1   212.2 ArialMT        11.04 Компрессоры холодильного агента должны снабжаться устройствами
   78.0   212.6   307.9   224.9 ArialMT        11.04 защиты, отключающими их привод в случае:
   99.4   225.2   111.6   237.5 Arial-BoldMT   11.04 .1
  127.7   225.2   369.5   237.5 ArialMT        11.04 недопустимого падения давления всасывания;
   99.4   237.8   111.6   250.1 Arial-BoldMT   11.04 .2
  127.7   237.8   382.4   250.1 ArialMT        11.04 недопустимого повышения давления нагнетания;
   99.4   250.5   111.6   262.9 Arial-BoldMT   11.04 .3
  127.7   250.5   414.9   262.9 ArialMT        11.04 недопустимого понижения давления смазочного масла;
   99.4   263.1   111.6   275.5 Arial-BoldMT   11.04 .4
  127.7   263.1   536.2   275.5 ArialMT        11.04 недопустимого повышения температуры нагнетания (для холодильных
   78.0   275.9   536.1   288.2 ArialMT        11.04 установок, работающих на холодильных агентах группы II, а также автоматизированных
   78.0   288.5   305.5   300.8 ArialMT        11.04 установок с безвахтенным обслуживанием);
   99.4   301.2   111.6   313.5 Arial-BoldMT   11.04 .5
  127.7   301.2   476.2   313.5 ArialMT        11.04 недопустимого осевого сдвига ротора центробежного компрессора;
   99.4   313.8   111.6   326.1 Arial-BoldMT   11.04 .6
  127.7   313.8   207.4   326.1 ArialMT        11.04 недопустимого
  222.8   313.8   284.8   326.1 ArialMT        11.04 повышения
  300.2   313.8   370.9   326.1 ArialMT        11.04 температуры
  386.3   313.8   457.7   326.1 ArialMT        11.04 подшипников
  473.1   313.8   536.2   326.1 ArialMT        11.04 скольжения
   78.0   326.4   231.1   338.7 ArialMT        11.04 центробежного компрессора.
   99.4   339.1   124.0   351.4 Arial-BoldMT   11.04 7.2.4
  148.9   339.1   214.5   351.4 ArialMT        11.04 Отделители
  223.4   339.1   277.1   351.4 ArialMT        11.04 жидкости,
  286.1   339.1   370.9   351.4 ArialMT        11.04 промежуточные
  379.9   339.1   419.9   351.4 ArialMT        11.04 сосуды
  428.9   339.1   438.1   351.4 ArialMT        11.04 и
  447.1   339.1   536.3   351.4 ArialMT        11.04 циркуляционные
   78.0   351.7   536.1   364.0 ArialMT        11.04 ресиверы (при насосной системе циркуляции холодильного агента), а также испарители
   78.0   364.5   536.0   376.8 ArialMT        11.04 со свободным уровнем жидкости должны снабжаться устройствами регулирования и
   78.0   377.1   223.5   389.4 ArialMT        11.04 защиты, обеспечивающими:
   99.4   389.7   111.6   402.0 Arial-BoldMT   11.04 .1
  127.7   389.7   536.3   402.0 ArialMT        11.04 поддержание постоянного уровня холодильного агента, установленного для
   78.0   402.4   491.4   414.7 ArialMT        11.04 правильной работы испарителя, или постоянной температуры перегрева паров;
   99.4   415.0   111.6   427.3 Arial-BoldMT   11.04 .2
  127.7   415.0   536.2   427.3 ArialMT        11.04 прекращение подачи жидкого агента в испарители и промежуточные сосуды
   78.0   427.7   289.8   440.0 ArialMT        11.04 любого типа при остановке компрессора;
   99.4   440.3   111.6   452.6 Arial-BoldMT   11.04 .3
  127.7   440.3   536.3   452.6 ArialMT        11.04 отключение компрессора при недопустимом повышении уровня холодильного
   78.0   452.9   117.6   465.2 ArialMT        11.04 агента.
   99.4   465.6   124.0   477.9 Arial-BoldMT   11.04 7.2.5
  148.9   465.6   204.7   477.9 ArialMT        11.04 Установки
  217.6   465.6   315.2   477.9 ArialMT        11.04 с кожухотрубными
  328.1   465.6   404.3   477.9 ArialMT        11.04 испарителями
  417.2   465.6   460.7   477.9 ArialMT        11.04 должны
  473.6   465.6   536.2   477.9 ArialMT        11.04 снабжаться
   78.0   478.2   297.4   490.5 ArialMT        11.04 устройствами защиты, обеспечивающими:
   99.4   491.0   111.6   503.3 Arial-BoldMT   11.04 .1
  127.7   491.0   536.2   503.3 ArialMT        11.04 остановку компрессоров при прекращении движения холодоносителя через
   78.0   503.6   490.5   515.9 ArialMT        11.04 испаритель или отключение этого испарителя от системы холодильного агента;
   99.4   516.2   111.6   528.5 Arial-BoldMT   11.04 .2
  127.7   516.2   181.9   528.5 ArialMT        11.04 остановку
  192.1   516.2   267.1   528.5 ArialMT        11.04 компрессоров
  277.3   516.2   298.6   528.5 ArialMT        11.04 при
  308.9   516.2   386.0   528.5 ArialMT        11.04 недопустимом
  396.2   516.2   455.5   528.5 ArialMT        11.04 понижении
  465.7   516.2   536.2   528.5 ArialMT        11.04 температуры
   78.0   528.9   168.2   541.2 ArialMT        11.04 холодоносителя.
   99.4   541.5   124.0   553.8 Arial-BoldMT   11.04 7.2.6
  148.9   541.5   222.8   553.8 ArialMT        11.04 Холодильные
  238.4   541.5   292.6   553.8 ArialMT        11.04 установки
  308.2   541.5   351.5   553.8 ArialMT        11.04 должны
  367.1   541.5   447.0   553.8 ArialMT        11.04 оборудоваться
  462.6   541.5   536.1   553.8 ArialMT        11.04 устройствами
   78.0   554.2   536.0   566.5 ArialMT        11.04 сигнализации, подающими обобщенный сигнал на пост управления холодильной
   78.0   566.8   400.6   579.1 ArialMT        11.04 установкой при срабатывании устройств защиты, указанных в
  400.6   566.8   466.7   579.1 ArialMT        11.04 7.2.3 — 7.2.5
  466.7   566.8   472.7   579.1 ArialMT        11.04 .
   99.4   579.4   536.1   591.7 ArialMT        11.04 На местном посту управления холодильной установкой должна предусматриваться
   78.0   592.1   361.8   604.4 ArialMT        11.04 возможность расшифровки указанных выше сигналов.
   99.4   604.7   124.0   617.0 Arial-BoldMT   11.04 7.2.7
  148.9   604.7   536.3   617.0 ArialMT        11.04 Каждое помещение с оборудованием, содержащим холодильный агент,
   78.0   617.4   536.0   629.7 ArialMT        11.04 должно быть оборудовано газоанализаторами и сигнализацией об утечке холодильного
   78.0   630.0   323.1   642.3 ArialMT        11.04 агента, срабатывающей в следующих случаях:
   99.4   642.8   337.7   655.1 ArialMT        11.04 для холодильных агентов группы I (хладоны):
   99.4   655.4   536.3   667.7 ArialMT        11.04 при превышении санитарной нормы предельно допустимой концентрации (ПДК)
   78.0   668.0   257.9   680.3 ArialMT        11.04 в воздухе рабочей зоны (3000 мг/м
  257.9   667.7   261.8   675.5 ArialMT         6.96 3
  261.8   668.0   271.6   680.3 ArialMT        11.04 );
   99.4   680.7   389.1   693.0 ArialMT        11.04 для холодильных агентов группы I (двуокись углерода):
   99.4   693.3   493.0   705.6 ArialMT        11.04 при превышении санитарной нормы ПДК в воздухе рабочей зоны (9200 мг/м
  493.1   693.0   496.9   700.8 ArialMT         6.96 3
  496.9   693.3   506.7   705.6 ArialMT        11.04 );
   99.4   706.0   334.5   718.3 ArialMT        11.04 для холодильных агентов группы II (аммиак):
   99.4   718.6   480.8   730.9 ArialMT        11.04 при превышении санитарной нормы ПДК в воздухе рабочей зоны (20 мг/м
  480.8   718.4   484.7   726.1 ArialMT         6.96 3
  484.7   718.6   494.3   730.9 ArialMT        11.04 );
