  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 37
  160.0    99.5   457.4   111.8 Arial-BoldMT   11.04 11.3 ИСПЫТАНИЯ УСТАНОВОК С РЕГУЛИРОВАНИЕМ
  227.3   112.1   386.9   124.4 Arial-BoldMT   11.04 СОСТАВА ГАЗОВОЙ СРЕДЫ
   99.4   136.7   133.0   149.0 Arial-BoldMT   11.04 11.3.1
  148.9   136.7   536.1   149.0 ArialMT        11.04 Воздухопроводы, идущие на термоизолированные контейнеры, должны
   78.0   149.4   536.1   161.7 ArialMT        11.04 быть испытаны на распределение охлаждаемого воздуха путем замера количества
   78.0   162.0   536.3   174.3 ArialMT        11.04 воздуха, поступающего к гибкому соединению контейнера при работе вентилятора на
   78.0   174.6   536.1   186.9 ArialMT        11.04 полной производительности. Воздушный поток (по количеству воздуха) на каждый
   78.0   187.5   192.3   199.9 ArialMT        11.04 термоизолированный
  202.1   187.5   257.7   199.9 ArialMT        11.04 контейнер
  267.5   187.5   324.3   199.9 ArialMT        11.04 не должен
  334.1   187.5   394.9   199.9 ArialMT        11.04 отличаться
  404.5   187.5   438.7   199.9 ArialMT        11.04 более
  448.4   187.5   470.8   199.9 ArialMT        11.04 чем
  480.6   187.5   495.7   199.9 ArialMT        11.04 на
  505.7   186.9   511.5   199.8 SymbolMT       10.56 
  511.4   187.5   536.3   199.9 ArialMT        11.04 5 %
   78.0   200.1   155.2   212.5 ArialMT        11.04 от расчетного.
   99.4   212.9   133.0   225.2 Arial-BoldMT   11.04 11.3.2
  148.9   212.9   536.3   225.2 ArialMT        11.04 После окончания монтажа воздухопроводов охлажденного воздуха
   78.0   225.5   536.1   237.8 ArialMT        11.04 на судне перед монтажом изоляции должны быть выполнены испытания на прочность
   78.0   238.1   536.1   250.4 ArialMT        11.04 давлением воздуха не менее 1,5 расчетного, а также на плотность рабочим давлением;
   78.0   250.8   367.2   263.1 ArialMT        11.04 при этом указанные испытания могут быть совмещены.
