  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 36
  145.6    99.5   468.6   111.8 Arial-BoldMT   11.04 11.2 ИСПЫТАНИЯ ХОЛОДИЛЬНОЙ УСТАНОВКИ НА СУДНЕ
   99.4   124.1   133.0   136.4 Arial-BoldMT   11.04 11.2.1
  148.9   124.1   536.1   136.4 ArialMT        11.04 Для проверки выполнения требований настоящей части после окончания
   78.0   136.7   536.2   149.0 ArialMT        11.04 монтажа на судне холодильная установка должна быть испытана и проверена
   78.0   149.4   335.9   161.7 ArialMT        11.04 в действии по одобренной Регистром программе.
   99.4   162.0   133.0   174.3 Arial-BoldMT   11.04 11.2.2
  148.9   162.0   536.1   174.3 ArialMT        11.04 Должны быть проведены пневматические испытания на плотность всей
   78.0   174.6   536.3   186.9 ArialMT        11.04 системы холодильного агента пробным давлением, равным расчетному, в соответствии
   78.0   187.3    86.6   199.6 ArialMT        11.04 с
   86.7   187.3   111.2   199.6 ArialMT        11.04 2.2.1
  111.1   187.3   536.1   199.6 ArialMT        11.04 . Пневматические испытания могут проводится азотом, двуокисью углерода,
   78.0   199.9   536.1   212.2 ArialMT        11.04 осушенным воздухом. По окончании испытаний на плотность системы холодильного
   78.0   212.6   524.8   224.9 ArialMT        11.04 агента группы II проверяется работа системы аварийного слива холодильного агента.
   99.4   225.2   133.0   237.5 Arial-BoldMT   11.04 11.2.3
  148.9   225.2   536.1   237.5 ArialMT        11.04 После испытаний на плотность системы холодильного агента группы I
   78.0   237.8   536.1   250.1 ArialMT        11.04 должны быть испытаны на герметичность вакуумированием при остаточном давлении
   78.0   250.5   161.5   262.9 ArialMT        11.04 не более 1 кПа.
   99.4   263.1   133.0   275.5 Arial-BoldMT   11.04 11.2.4
  148.9   263.1   536.2   275.5 ArialMT        11.04 После заполнения системы холодильным агентом должна быть проверена
   78.0   275.9   343.5   288.2 ArialMT        11.04 плотность соединений трубопроводов и арматуры.
   99.4   288.5   133.0   300.8 Arial-BoldMT   11.04 11.2.5
  148.9   288.5   171.0   300.8 ArialMT        11.04 Все
  182.4   288.5   259.0   300.8 ArialMT        11.04 трубопроводы
  270.3   288.5   309.7   300.8 ArialMT        11.04 вместе
  321.1   288.5   387.5   300.8 ArialMT        11.04 с арматурой
  398.9   288.5   437.9   300.8 ArialMT        11.04 систем
  449.3   288.5   536.3   300.8 ArialMT        11.04 холодоносителя
   78.0   301.2   495.8   313.5 ArialMT        11.04 и охлаждающей воды должны быть испытаны на плотность в рабочих условиях.
   99.4   313.8   133.0   326.1 Arial-BoldMT   11.04 11.2.6
  148.9   313.8   536.2   326.1 ArialMT        11.04 Проверяются в действии системы основной и аварийной вентиляции,
   78.0   326.4   536.2   338.7 ArialMT        11.04 осушения, водяных завес, дистанционного отключения механизмов, устройств
   78.0   339.1   518.0   351.4 ArialMT        11.04 безопасности, защитной автоматики, газоанализаторов утечки холодильного агента.
   99.4   351.7   133.0   364.0 Arial-BoldMT   11.04 11.2.7
  148.9   351.7   536.3   364.0 ArialMT        11.04 Оборудование холодильной установки проверяется в действии на всех
   78.0   364.5   515.9   376.8 ArialMT        11.04 рабочих режимах; при этом должно быть подтверждено выполнение требований
  518.1   364.5   533.4   376.8 ArialMT        11.04 2.3
   78.0   377.1    87.2   389.4 ArialMT        11.04 и
   87.3   377.1   111.9   389.4 ArialMT        11.04 7.2.8
  111.7   377.1   536.1   389.4 ArialMT        11.04 , работа устройств регулирующей автоматики, охлаждающих устройств,
   78.0   389.7   296.8   402.0 ArialMT        11.04 эффективность удаления снеговой шубы.
   99.4   402.4   133.0   414.7 Arial-BoldMT   11.04 11.2.8
  148.9   402.4   536.3   414.7 ArialMT        11.04 Испытания холодильной установки должны быть проведены при полной
   78.0   415.0   536.3   427.3 ArialMT        11.04 расчетной тепловой нагрузке и спецификационных температурах кипения и конденсации
   78.0   427.7   536.1   440.0 ArialMT        11.04 холодильного агента. В случае проведения испытаний при низких температурах
   78.0   440.3   536.2   452.6 ArialMT        11.04 наружного воздуха, отличающихся от спецификационных, может быть потребована
   78.0   452.9   319.2   465.2 ArialMT        11.04 имитация дополнительной тепловой нагрузки.
   99.4   465.6   133.0   477.9 Arial-BoldMT   11.04 11.2.9
  148.9   465.6   212.3   477.9 ArialMT        11.04 Результаты
  223.6   465.6   267.3   477.9 ArialMT        11.04 расчета
  278.6   465.6   352.6   477.9 ArialMT        11.04 осредненного
  363.9   465.6   443.5   477.9 ArialMT        11.04 коэффициента
  454.8   465.6   536.1   477.9 ArialMT        11.04 теплопередачи
   78.0   478.2   536.1   490.5 ArialMT        11.04 изоляционной конструкции охлаждаемых помещений должны быть подтверждены
   78.0   491.0   340.5   503.3 ArialMT        11.04 испытаниями по определению качества изоляции.
