  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 19
  140.8    99.5   473.6   111.8 Arial-BoldMT   11.04 3.5 ПОМЕЩЕНИЯ С ТЕХНОЛОГИЧЕСКИМ ОБОРУДОВАНИЕМ
   99.4   124.1   126.9   136.4 Arial-BoldMT   11.04 3.5.1
  148.9   124.1   536.2   136.4 ArialMT        11.04 Если на судне предусмотрено размещение механизмов, аппаратов
   78.0   136.7   536.0   149.0 ArialMT        11.04 и сосудов, содержащих холодильный агент, вне отделений холодильных машин и
   78.0   149.4   536.2   161.7 ArialMT        11.04 охлаждаемых помещений, то такое помещение рассматривается как помещение
   78.0   162.0   263.8   174.3 ArialMT        11.04 с технологическим оборудованием.
   99.4   174.6   126.9   186.9 Arial-BoldMT   11.04 3.5.2
  148.9   174.6   159.3   186.9 ArialMT        11.04 В
  172.8   174.6   240.4   186.9 ArialMT        11.04 помещениях
  253.9   174.6   353.0   186.9 ArialMT        11.04 с технологическим
  366.5   174.6   453.0   186.9 ArialMT        11.04 оборудованием,
  466.5   174.6   536.2   186.9 ArialMT        11.04 работающим
   78.0   187.3   536.1   199.6 ArialMT        11.04 под давлением холодильного агента группы II, необходимо иметь пожарный кран
   78.0   199.9   134.7   212.2 ArialMT        11.04 с рукавом.
   99.4   212.6   126.9   224.9 Arial-BoldMT   11.04 3.5.3
  148.9   212.6   536.1   224.9 ArialMT        11.04 Помещение с технологическим оборудованием должно быть оборудовано
   78.0   225.2   536.3   237.5 ArialMT        11.04 автономной вентиляцией, обеспечивающей, как минимум, 10-кратный обмен воздуха в
   78.0   237.8   536.1   250.1 ArialMT        11.04 час. Для помещений с технологическим оборудованием, содержащим устройства
   78.0   250.5   536.1   262.9 ArialMT        11.04 охлаждения, расположенные на стороне высокого давления, должны дополнительно
   78.0   263.1   210.4   275.5 ArialMT        11.04 выполняться требования
  210.5   263.1   235.0   275.5 ArialMT        11.04 3.1.7
  235.0   263.1   506.7   275.5 ArialMT        11.04 в отношении оборудования аварийной вентиляции.
   99.4   275.9   126.9   288.2 Arial-BoldMT   11.04 3.5.4
  148.9   275.9   159.3   288.2 ArialMT        11.04 В
  172.8   275.9   240.4   288.2 ArialMT        11.04 помещениях
  253.9   275.9   353.0   288.2 ArialMT        11.04 с технологическим
  366.5   275.9   453.0   288.2 ArialMT        11.04 оборудованием,
  466.5   275.9   536.2   288.2 ArialMT        11.04 работающим
   78.0   288.5   536.0   300.8 ArialMT        11.04 под давлением холодильных агентов группы II, должны быть предусмотрены два
   78.0   301.2   212.5   313.5 ArialMT        11.04 выхода, как это указано в
  212.6   301.2   237.0   313.5 ArialMT        11.04 3.1.3
  236.9   301.2   249.2   313.5 ArialMT        11.04 и
  249.3   301.2   273.7   313.5 ArialMT        11.04 3.1.4
  273.6   301.2   279.7   313.5 ArialMT        11.04 .
   99.4   313.8   536.1   326.1 ArialMT        11.04 При применении оборудования, расположенного на стороне высокого давления с
   78.0   326.4   536.2   338.7 ArialMT        11.04 холодильным агентом группы II выходы должны иметь устройства для создания водяных
   78.0   339.1   536.3   351.4 ArialMT        11.04 завес. Устройство для включения водяных завес должно находиться снаружи
   78.0   351.7   401.4   364.0 ArialMT        11.04 помещения в непосредственной близости от выходной двери.
